,등장일자,랭킹,키워드,일간검색량,월간검색량
0,2022-05-09,294,데일리즈,1026,1941
1,2022-05-10,238,김건희옷,47050,222285
2,2022-05-12,243,교련복,2178,26124
3,2022-05-12,304,마르조썸머인견팬츠,484,3347
4,2022-05-12,430,반팔크롭자켓,362,9652
5,2022-05-12,476,세루티자켓,763,2924
6,2022-05-13,57,올리비아로렌티셔츠,105,3964
7,2022-05-13,140,비비안마이핏네모팬티,1187,2188
8,2022-05-13,245,안나수이원피스,688,12536
9,2022-05-13,404,나이스,9399,201582
10,2022-05-14,198,행텐10320-150-404-51,325,1718
11,2022-05-14,293,리린,13461,405285
12,2022-05-14,465,법복,1016,9824
13,2022-05-15,287,모르간썸머원피스,1046,4724
14,2022-05-15,339,한지민가디건,1610,5798
15,2022-05-15,492,스프리스기능성바람막이,569,1332
16,2022-05-18,253,에바큐브,1490,4405
17,2022-05-18,432,나이키더블스우시후드집업,416,1176
18,2022-05-19,164,마틴발썸머울카라니트,980,2981
19,2022-05-19,398,여성여름정장,690,19293
20,2022-05-20,73,유니클로마르니,38561,128486
21,2022-05-20,355,딜레탕티즘,678,3395
22,2022-05-21,368,셀린느티셔츠,1461,21135
23,2022-05-21,377,닉스조거팬츠,937,3473
24,2022-05-21,429,클로앤차이가디건형니트,1559,3399
25,2022-05-22,210,디키즈874여자,2699,27161
26,2022-05-22,401,반팔청자켓,417,5843
27,2022-05-22,479,레이지카키하프조거팬츠,760,4684
28,2022-05-23,166,테이퍼드세미와이드청바지,81,568
29,2022-05-23,499,트위드반팔,384,10146
30,2022-05-24,457,마드제이,3191,32086
31,2022-05-25,222,테이핑브라,715,1498
32,2022-05-25,418,여성반팔가디건,388,9184
33,2022-05-25,449,유에르,4104,10158
34,2022-05-25,460,지오다노101221,45,1109
35,2022-05-26,446,커클랜드티셔츠,587,7164
36,2022-05-26,488,테니스원피스,491,8828
37,2022-05-27,443,러브이즈트루,783,19133
38,2022-05-27,492,가니송,63,2307
39,2022-05-28,333,신혼부부,199,7055
40,2022-05-28,442,리스트바지,321,8028
41,2022-05-28,460,여성롱원피스,460,13604
42,2022-05-28,488,폴로반팔셔츠,789,21665
43,2022-05-29,403,리바이스쿨진여성,765,1461
44,2022-05-30,214,엉뽕,43,1783
45,2022-06-02,451,마리나요팅티셔츠,416,1253
46,2022-06-02,470,바스락스커트,313,7196
47,2022-06-03,405,비뮤즈맨션,1637,14474
48,2022-06-04,373,리더잭텐셀풀스트링팬츠,627,1216
49,2022-06-04,377,올앤선드리원피스,190,3706
50,2022-06-05,430,자바나스반팔,1532,17465
