,등장일자,랭킹,키워드,일간검색량,월간검색량
0,2022-05-10,238,김건희옷,37227,178286
1,2022-05-12,243,교련복,2004,22825
2,2022-05-12,304,마르조썸머인견팬츠,431,3024
3,2022-05-12,430,반팔크롭자켓,351,9544
4,2022-05-12,476,세루티자켓,759,3015
5,2022-05-13,57,올리비아로렌티셔츠,103,4016
6,2022-05-13,140,비비안마이핏네모팬티,1187,2188
7,2022-05-13,245,안나수이원피스,687,13396
8,2022-05-13,404,나이스,9022,196986
9,2022-05-14,198,행텐10320-150-404-51,326,1783
10,2022-05-14,293,리린,12968,403185
11,2022-05-14,465,법복,998,9837
12,2022-05-15,287,모르간썸머원피스,929,4294
13,2022-05-15,339,한지민가디건,1607,5838
14,2022-05-15,492,스프리스기능성바람막이,566,1362
15,2022-05-18,253,에바큐브,1477,4433
16,2022-05-18,421,여성정장하객룩,0,30
17,2022-05-18,432,나이키더블스우시후드집업,412,1208
18,2022-05-19,164,마틴발썸머울카라니트,968,3107
19,2022-05-19,398,여성여름정장,671,19513
20,2022-05-20,73,유니클로마르니,38466,130286
21,2022-05-20,355,딜레탕티즘,670,3475
22,2022-05-21,368,셀린느티셔츠,1428,21459
23,2022-05-21,377,닉스조거팬츠,925,3499
24,2022-05-21,429,클로앤차이가디건형니트,1508,3144
25,2022-05-22,210,디키즈874여자,2635,26865
26,2022-05-22,401,반팔청자켓,403,5821
27,2022-05-22,479,레이지카키하프조거팬츠,756,4616
28,2022-05-23,166,테이퍼드세미와이드청바지,81,568
29,2022-05-23,499,트위드반팔,372,10183
30,2022-05-24,457,마드제이,3072,31228
31,2022-05-25,222,테이핑브라,713,1516
32,2022-05-25,418,여성반팔가디건,375,9255
33,2022-05-25,449,유에르,4085,10889
34,2022-05-25,460,지오다노101221,44,1106
35,2022-05-26,446,커클랜드티셔츠,580,7224
36,2022-05-26,488,테니스원피스,483,9089
37,2022-05-27,443,러브이즈트루,767,19219
38,2022-05-27,492,가니송,61,2279
39,2022-05-28,333,신혼부부,193,7055
40,2022-05-28,442,리스트바지,311,8074
41,2022-05-28,460,여성롱원피스,447,13892
42,2022-05-28,488,폴로반팔셔츠,769,21673
43,2022-05-29,403,리바이스쿨진여성,767,1488
44,2022-05-30,214,엉뽕,42,1754
45,2022-06-01,89,맥스튜어트뉴욕데님,1474,2653
46,2022-06-02,451,마리나요팅티셔츠,412,1292
47,2022-06-02,470,바스락스커트,305,7606
48,2022-06-03,405,비뮤즈맨션,1613,14833
49,2022-06-04,373,리더잭텐셀풀스트링팬츠,628,1286
50,2022-06-04,377,올앤선드리원피스,186,3717
51,2022-06-05,430,자바나스반팔,1480,17774
52,2022-06-06,358,세루티니트,1086,3737
53,2022-06-06,376,안지크원피스,806,4041
54,2022-06-06,411,올리브그린썸머하이웨이팬츠,820,1977
55,2022-06-06,424,코닥반팔티,1031,17155
56,2022-06-06,457,누모브라렛,12,88
57,2022-06-07,256,쌍방울하나만,1868,3168
58,2022-06-07,406,컬럼비아유니버시티,22,899
