,기간,김건희
0,2019-06-13,0.0076
1,2019-06-14,0.00703
2,2019-06-15,0.00506
3,2019-06-16,0.0095
4,2019-06-17,0.14989
5,2019-06-18,39.32607
6,2019-06-19,22.01186
7,2019-06-20,0.53459
8,2019-06-21,0.24626
9,2019-06-22,0.23403
10,2019-06-23,0.11929
11,2019-06-24,0.10086
12,2019-06-25,0.08571
13,2019-06-26,0.07583
14,2019-06-27,0.04377
15,2019-06-28,0.06943
16,2019-06-29,0.03231
17,2019-06-30,0.02413
18,2019-07-01,0.04409
19,2019-07-02,0.03142
20,2019-07-03,0.02869
21,2019-07-04,0.02249
22,2019-07-05,0.06367
23,2019-07-06,0.04681
24,2019-07-07,0.05201
25,2019-07-08,0.56892
26,2019-07-09,0.16009
27,2019-07-10,0.05093
28,2019-07-11,0.02914
29,2019-07-12,0.01742
30,2019-07-13,0.0133
31,2019-07-14,0.01792
32,2019-07-15,0.0223
33,2019-07-16,0.06779
34,2019-07-17,0.03592
35,2019-07-18,0.01514
36,2019-07-19,0.01368
37,2019-07-20,0.01216
38,2019-07-21,0.01241
39,2019-07-22,0.00962
40,2019-07-23,0.01159
41,2019-07-24,0.01488
42,2019-07-25,88.98019
43,2019-07-26,82.60742
44,2019-07-27,1.52559
45,2019-07-28,0.56658
46,2019-07-29,0.33147
47,2019-07-30,0.13925
48,2019-07-31,0.10231
49,2019-08-01,0.10738
50,2019-08-02,0.09389
51,2019-08-03,0.06227
52,2019-08-04,0.05777
53,2019-08-05,0.04111
54,2019-08-06,0.03281
55,2019-08-07,0.03509
56,2019-08-08,0.0669
57,2019-08-09,0.05366
58,2019-08-10,0.02755
59,2019-08-11,0.02312
60,2019-08-12,0.02179
61,2019-08-13,0.01945
62,2019-08-14,0.02014
63,2019-08-15,0.0204
64,2019-08-16,0.01697
65,2019-08-17,0.01666
66,2019-08-18,0.01697
67,2019-08-19,0.01894
68,2019-08-20,0.02356
69,2019-08-21,0.02154
70,2019-08-22,0.03123
71,2019-08-23,0.01868
72,2019-08-24,0.01552
73,2019-08-25,0.01476
74,2019-08-26,0.01545
75,2019-08-27,0.227
76,2019-08-28,0.14216
77,2019-08-29,0.09281
78,2019-08-30,0.06905
79,2019-08-31,0.06088
80,2019-09-01,0.05689
81,2019-09-02,0.05657
82,2019-09-03,0.0624
83,2019-09-04,0.09002
84,2019-09-05,0.12227
85,2019-09-06,0.139
86,2019-09-07,0.40072
87,2019-09-08,0.3634
88,2019-09-09,0.51013
89,2019-09-10,0.43632
90,2019-09-11,0.30822
91,2019-09-12,0.16713
92,2019-09-13,0.14261
93,2019-09-14,0.18943
94,2019-09-15,0.12835
95,2019-09-16,0.09604
96,2019-09-17,0.08521
97,2019-09-18,0.06988
98,2019-09-19,0.14394
99,2019-09-20,0.1618
100,2019-09-21,0.15084
101,2019-09-22,0.14806
102,2019-09-23,0.22288
103,2019-09-24,0.14844
104,2019-09-25,0.16421
105,2019-09-26,0.12278
106,2019-09-27,0.15129
107,2019-09-28,0.16313
108,2019-09-29,0.1988
109,2019-09-30,0.181
110,2019-10-01,0.1983
111,2019-10-02,0.13634
112,2019-10-03,0.08426
113,2019-10-04,0.07672
114,2019-10-05,0.0612
115,2019-10-06,0.05822
116,2019-10-07,0.05347
117,2019-10-08,0.04618
118,2019-10-09,0.04042
119,2019-10-10,0.04472
120,2019-10-11,0.42124
121,2019-10-12,0.08356
122,2019-10-13,0.05062
123,2019-10-14,0.09167
124,2019-10-15,0.06683
125,2019-10-16,0.03871
126,2019-10-17,0.13564
127,2019-10-18,0.12404
128,2019-10-19,0.07317
129,2019-10-20,0.04238
130,2019-10-21,0.03978
131,2019-10-22,0.03332
132,2019-10-23,0.03307
133,2019-10-24,0.05397
134,2019-10-25,0.05017
135,2019-10-26,0.03408
136,2019-10-27,0.04358
137,2019-10-28,0.03231
138,2019-10-29,0.03307
139,2019-10-30,0.03845
140,2019-10-31,0.02173
141,2019-11-01,0.02508
142,2019-11-02,0.05328
143,2019-11-03,0.03478
144,2019-11-04,0.03288
145,2019-11-05,0.02299
146,2019-11-06,0.02027
147,2019-11-07,0.01336
148,2019-11-08,0.02413
149,2019-11-09,0.01596
150,2019-11-10,0.01558
151,2019-11-11,0.0152
152,2019-11-12,0.019
153,2019-11-13,0.01431
154,2019-11-14,0.01843
155,2019-11-15,0.01862
156,2019-11-16,0.01564
157,2019-11-17,0.01602
158,2019-11-18,0.01539
159,2019-11-19,0.01222
160,2019-11-20,0.01463
161,2019-11-21,0.01431
162,2019-11-22,0.0126
163,2019-11-23,0.01191
164,2019-11-24,0.02635
165,2019-11-25,0.01868
166,2019-11-26,0.01431
167,2019-11-27,0.01482
168,2019-11-28,0.01539
169,2019-11-29,0.01393
170,2019-11-30,0.06253
171,2019-12-01,0.03098
172,2019-12-02,0.03408
173,2019-12-03,0.0401
174,2019-12-04,0.04016
175,2019-12-05,0.03731
176,2019-12-06,0.03452
177,2019-12-07,0.01862
178,2019-12-08,0.02863
179,2019-12-09,0.03756
180,2019-12-10,0.02933
181,2019-12-11,0.03243
182,2019-12-12,0.02109
183,2019-12-13,0.02059
184,2019-12-14,0.01621
185,2019-12-15,0.01621
186,2019-12-16,0.01305
187,2019-12-17,0.0121
188,2019-12-18,0.014
189,2019-12-19,0.01248
190,2019-12-20,0.01184
191,2019-12-21,0.01051
192,2019-12-22,0.01343
193,2019-12-23,0.01628
194,2019-12-24,0.01704
195,2019-12-25,0.01431
196,2019-12-26,0.02128
197,2019-12-27,0.02154
198,2019-12-28,0.01824
199,2019-12-29,0.01615
200,2019-12-30,0.0254
201,2019-12-31,0.03484
202,2020-01-01,0.02109
203,2020-01-02,0.0318
204,2020-01-03,0.02787
205,2020-01-04,0.05157
206,2020-01-05,0.04206
207,2020-01-06,0.028
208,2020-01-07,0.03465
209,2020-01-08,0.04257
210,2020-01-09,0.0982
211,2020-01-10,0.08223
212,2020-01-11,0.07083
213,2020-01-12,0.11473
214,2020-01-13,0.11004
215,2020-01-14,0.05987
216,2020-01-15,0.05423
217,2020-01-16,0.05347
218,2020-01-17,0.09826
219,2020-01-18,0.05676
220,2020-01-19,0.09167
221,2020-01-20,0.11803
222,2020-01-21,0.07425
223,2020-01-22,0.05828
224,2020-01-23,0.08901
225,2020-01-24,0.06227
226,2020-01-25,0.04713
227,2020-01-26,0.06867
228,2020-01-27,0.04251
229,2020-01-28,0.03389
230,2020-01-29,0.05828
231,2020-01-30,0.0363
232,2020-01-31,0.0612
233,2020-02-01,0.03985
234,2020-02-02,0.05207
235,2020-02-03,0.05017
236,2020-02-04,0.056
237,2020-02-05,0.04086
238,2020-02-06,0.03871
239,2020-02-07,0.03452
240,2020-02-08,0.0261
241,2020-02-09,0.03161
242,2020-02-10,0.07494
243,2020-02-11,0.06025
244,2020-02-12,0.03794
245,2020-02-13,0.05556
246,2020-02-14,0.03433
247,2020-02-15,0.0325
248,2020-02-16,0.03813
249,2020-02-17,100.0
250,2020-02-18,25.45604
251,2020-02-19,0.90952
252,2020-02-20,0.59091
253,2020-02-21,0.3748
254,2020-02-22,0.32051
255,2020-02-23,0.34351
256,2020-02-24,0.37474
257,2020-02-25,0.20153
258,2020-02-26,0.16884
259,2020-02-27,0.14761
260,2020-02-28,0.08286
261,2020-02-29,0.03408
262,2020-03-01,0.03807
263,2020-03-02,0.04175
264,2020-03-03,0.03921
265,2020-03-04,0.03947
266,2020-03-05,0.0311
267,2020-03-06,0.02641
268,2020-03-07,0.02946
269,2020-03-08,0.02591
270,2020-03-09,1.95507
271,2020-03-10,0.47072
272,2020-03-11,0.12987
273,2020-03-12,0.05949
274,2020-03-13,0.15965
275,2020-03-14,0.15426
276,2020-03-15,0.07304
277,2020-03-16,1.72497
278,2020-03-17,1.0342
279,2020-03-18,1.53978
280,2020-03-19,0.35073
281,2020-03-20,0.28782
282,2020-03-21,0.14261
283,2020-03-22,0.11771
284,2020-03-23,0.07228
285,2020-03-24,0.06988
286,2020-03-25,0.09883
287,2020-03-26,0.19874
288,2020-03-27,1.1051
289,2020-03-28,0.46939
290,2020-03-29,0.08774
291,2020-03-30,0.09699
292,2020-03-31,0.09591
293,2020-04-01,0.07786
294,2020-04-02,0.04232
295,2020-04-03,0.03509
296,2020-04-04,0.02211
297,2020-04-05,0.03186
298,2020-04-06,0.27939
299,2020-04-07,0.15154
300,2020-04-08,0.08996
301,2020-04-09,0.14837
302,2020-04-10,0.11144
303,2020-04-11,0.04992
304,2020-04-12,0.02977
305,2020-04-13,0.03332
306,2020-04-14,0.02515
307,2020-04-15,0.0904
308,2020-04-16,0.05372
309,2020-04-17,0.05796
310,2020-04-18,0.042
311,2020-04-19,0.03243
312,2020-04-20,0.02388
313,2020-04-21,0.02439
314,2020-04-22,0.05765
315,2020-04-23,0.03053
316,2020-04-24,0.04561
317,2020-04-25,0.32488
318,2020-04-26,0.23137
319,2020-04-27,0.13957
320,2020-04-28,0.08242
321,2020-04-29,0.08033
322,2020-04-30,0.08882
323,2020-05-01,0.11632
324,2020-05-02,0.07127
325,2020-05-03,0.05302
326,2020-05-04,0.0344
327,2020-05-05,0.03655
328,2020-05-06,0.03256
329,2020-05-07,0.0247
330,2020-05-08,0.03737
331,2020-05-09,0.02673
332,2020-05-10,0.02432
333,2020-05-11,0.02255
334,2020-05-12,0.0439
335,2020-05-13,0.01495
336,2020-05-14,0.01615
337,2020-05-15,0.01913
338,2020-05-16,0.01545
339,2020-05-17,0.0145
340,2020-05-18,0.01482
341,2020-05-19,0.01552
342,2020-05-20,0.01349
343,2020-05-21,0.0152
344,2020-05-22,0.01425
345,2020-05-23,0.01482
346,2020-05-24,0.01381
347,2020-05-25,0.01349
348,2020-05-26,0.0178
349,2020-05-27,0.01729
350,2020-05-28,0.01545
351,2020-05-29,0.01298
352,2020-05-30,0.01102
353,2020-05-31,0.01216
354,2020-06-01,0.01064
355,2020-06-02,0.0102
356,2020-06-03,0.00937
357,2020-06-04,0.0121
358,2020-06-05,0.01165
359,2020-06-06,0.00982
360,2020-06-07,0.01248
361,2020-06-08,0.01127
362,2020-06-09,0.01115
363,2020-06-10,0.0095
364,2020-06-11,0.02439
365,2020-06-12,0.0178
366,2020-06-13,0.01805
367,2020-06-14,0.01153
368,2020-06-15,0.01127
369,2020-06-16,0.01317
370,2020-06-17,0.00855
371,2020-06-18,0.01026
372,2020-06-19,0.03794
373,2020-06-20,0.03928
374,2020-06-21,0.03338
375,2020-06-22,0.03959
376,2020-06-23,0.02052
377,2020-06-24,0.01564
378,2020-06-25,0.02014
379,2020-06-26,0.02401
380,2020-06-27,0.01628
381,2020-06-28,0.02331
382,2020-06-29,0.01849
383,2020-06-30,0.03655
384,2020-07-01,0.0484
385,2020-07-02,0.06215
386,2020-07-03,0.0553
387,2020-07-04,0.10269
388,2020-07-05,0.05334
389,2020-07-06,0.07539
390,2020-07-07,0.08432
391,2020-07-08,0.13621
392,2020-07-09,0.12645
393,2020-07-10,0.08736
394,2020-07-11,0.09072
395,2020-07-12,0.08229
396,2020-07-13,0.07951
397,2020-07-14,0.0636
398,2020-07-15,0.06189
399,2020-07-16,0.06126
400,2020-07-17,0.07995
401,2020-07-18,0.07488
402,2020-07-19,0.07444
403,2020-07-20,0.07995
404,2020-07-21,0.15908
405,2020-07-22,0.11701
406,2020-07-23,0.06335
407,2020-07-24,0.03978
408,2020-07-25,0.03832
409,2020-07-26,0.0306
410,2020-07-27,0.0311
411,2020-07-28,0.03307
412,2020-07-29,0.03079
413,2020-07-30,0.03262
414,2020-07-31,0.02217
415,2020-08-01,0.02496
416,2020-08-02,0.02496
417,2020-08-03,0.03915
418,2020-08-04,0.06779
419,2020-08-05,0.04282
420,2020-08-06,0.09991
421,2020-08-07,0.08996
422,2020-08-08,0.04599
423,2020-08-09,0.03085
424,2020-08-10,0.76007
425,2020-08-11,0.03319
426,2020-08-12,0.01938
427,2020-08-13,0.01761
428,2020-08-14,0.0228
429,2020-08-15,0.02914
430,2020-08-16,0.02236
431,2020-08-17,0.01983
432,2020-08-18,0.01837
433,2020-08-19,0.01374
434,2020-08-20,0.01742
435,2020-08-21,0.01729
436,2020-08-22,0.0164
437,2020-08-23,0.01678
438,2020-08-24,0.01919
