,기간,김승민
0,2019-06-13,12.90434
1,2019-06-14,14.06608
2,2019-06-15,14.29565
3,2019-06-16,11.36695
4,2019-06-17,11.84
5,2019-06-18,10.66434
6,2019-06-19,9.13391
7,2019-06-20,9.21739
8,2019-06-21,7.93043
9,2019-06-22,7.7426
10,2019-06-23,6.89391
11,2019-06-24,6.97739
12,2019-06-25,6.65043
13,2019-06-26,7.24869
14,2019-06-27,5.80173
15,2019-06-28,6.01739
16,2019-06-29,5.02956
17,2019-06-30,5.10608
18,2019-07-01,5.30086
19,2019-07-02,4.90434
20,2019-07-03,4.61913
21,2019-07-04,4.63304
22,2019-07-05,4.14608
23,2019-07-06,4.51478
24,2019-07-07,4.4313
25,2019-07-08,4.64695
26,2019-07-09,4.85565
27,2019-07-10,4.5426
28,2019-07-11,4.4313
29,2019-07-12,4.40347
30,2019-07-13,4.13217
31,2019-07-14,5.98956
32,2019-07-15,22.03826
33,2019-07-16,13.96869
34,2019-07-17,7.62434
35,2019-07-18,5.34956
36,2019-07-19,4.91826
37,2019-07-20,5.07826
38,2019-07-21,4.46608
39,2019-07-22,6.04521
40,2019-07-23,5.21043
41,2019-07-24,5.55826
42,2019-07-25,5.28
43,2019-07-26,4.40347
44,2019-07-27,7.50608
45,2019-07-28,5.19652
46,2019-07-29,5.05043
47,2019-07-30,4.82086
48,2019-07-31,4.00695
49,2019-08-01,4.10434
50,2019-08-02,6.05217
51,2019-08-03,65.10608
52,2019-08-04,21.79478
53,2019-08-05,20.34086
54,2019-08-06,14.8313
55,2019-08-07,22.01043
56,2019-08-08,13.38434
57,2019-08-09,16.8
58,2019-08-10,61.59304
59,2019-08-11,29.0713
60,2019-08-12,23.21391
61,2019-08-13,19.61739
62,2019-08-14,18.1913
63,2019-08-15,16.48
64,2019-08-16,15.54086
65,2019-08-17,23.82608
66,2019-08-18,13.28695
67,2019-08-19,11.87478
68,2019-08-20,9.12
69,2019-08-21,8.68173
70,2019-08-22,6.99826
71,2019-08-23,20.7513
72,2019-08-24,45.26608
73,2019-08-25,18.88
74,2019-08-26,13.42608
75,2019-08-27,10.42782
76,2019-08-28,8.89739
77,2019-08-29,7.6313
78,2019-08-30,13.43304
79,2019-08-31,27.07478
80,2019-09-01,15.38782
81,2019-09-02,10.14956
82,2019-09-03,9.27304
83,2019-09-04,8.20869
84,2019-09-05,7.1513
85,2019-09-06,18.97739
86,2019-09-07,54.70608
87,2019-09-08,28.59826
88,2019-09-09,21.35652
89,2019-09-10,13.3913
90,2019-09-11,15.67304
91,2019-09-12,16.05565
92,2019-09-13,15.57565
93,2019-09-14,61.53739
94,2019-09-15,23.66608
95,2019-09-16,14.14956
96,2019-09-17,10.49043
97,2019-09-18,8.09043
98,2019-09-19,6.17043
99,2019-09-20,8.34782
100,2019-09-21,9.46782
101,2019-09-22,6.88
102,2019-09-23,4.87652
