,기간,방탄소년단
0,2019-06-13,41.85045
1,2019-06-14,41.62219
2,2019-06-15,54.55942
3,2019-06-16,56.73877
4,2019-06-17,38.7604
5,2019-06-18,33.75644
6,2019-06-19,30.48354
7,2019-06-20,33.82633
8,2019-06-21,34.5036
9,2019-06-22,39.292
10,2019-06-23,42.01941
11,2019-06-24,33.8148
12,2019-06-25,31.71476
13,2019-06-26,32.42286
14,2019-06-27,29.93241
15,2019-06-28,29.70838
16,2019-06-29,31.38131
17,2019-06-30,31.09421
18,2019-07-01,28.66401
19,2019-07-02,28.43433
20,2019-07-03,29.03159
21,2019-07-04,32.43909
22,2019-07-05,27.66788
23,2019-07-06,30.66992
24,2019-07-07,30.89654
25,2019-07-08,31.14528
26,2019-07-09,31.13045
27,2019-07-10,27.29912
28,2019-07-11,28.58282
29,2019-07-12,31.18858
30,2019-07-13,27.82954
31,2019-07-14,32.23648
32,2019-07-15,32.45627
33,2019-07-16,30.77629
34,2019-07-17,30.74875
35,2019-07-18,28.60753
36,2019-07-19,27.42361
37,2019-07-20,41.43087
38,2019-07-21,40.82255
39,2019-07-22,26.48443
40,2019-07-23,27.11769
41,2019-07-24,26.77717
42,2019-07-25,28.60259
43,2019-07-26,25.98295
44,2019-07-27,24.39544
45,2019-07-28,26.38088
46,2019-07-29,31.36483
47,2019-07-30,29.72768
48,2019-07-31,27.94462
49,2019-08-01,32.48027
50,2019-08-02,27.30524
51,2019-08-03,24.563
52,2019-08-04,24.4411
53,2019-08-05,27.46903
54,2019-08-06,30.45389
55,2019-08-07,29.42081
56,2019-08-08,26.95013
57,2019-08-09,26.50278
58,2019-08-10,29.57613
59,2019-08-11,31.45496
60,2019-08-12,33.18296
61,2019-08-13,29.21632
62,2019-08-14,31.13327
63,2019-08-15,30.49319
64,2019-08-16,27.9345
65,2019-08-17,26.4769
66,2019-08-18,25.47182
67,2019-08-19,26.91225
68,2019-08-20,27.33277
69,2019-08-21,27.74153
70,2019-08-22,25.94718
71,2019-08-23,25.7648
72,2019-08-24,24.02363
73,2019-08-25,23.72783
74,2019-08-26,24.43874
75,2019-08-27,28.69272
76,2019-08-28,23.61887
77,2019-08-29,23.66476
78,2019-08-30,22.27234
79,2019-08-31,24.04716
80,2019-09-01,41.51417
81,2019-09-02,28.16088
82,2019-09-03,24.47899
83,2019-09-04,22.28764
84,2019-09-05,22.2441
85,2019-09-06,21.15172
86,2019-09-07,22.49614
87,2019-09-08,21.36728
88,2019-09-09,26.70822
89,2019-09-10,24.33944
90,2019-09-11,22.16174
91,2019-09-12,31.59522
92,2019-09-13,26.93248
93,2019-09-14,25.69868
94,2019-09-15,31.02408
95,2019-09-16,31.43967
96,2019-09-17,50.68879
97,2019-09-18,29.59848
98,2019-09-19,25.29674
99,2019-09-20,22.68228
100,2019-09-21,23.53698
101,2019-09-22,22.91666
102,2019-09-23,22.26105
103,2019-09-24,25.58831
104,2019-09-25,25.21532
105,2019-09-26,25.55019
106,2019-09-27,26.23216
107,2019-09-28,25.40993
108,2019-09-29,22.35188
109,2019-09-30,21.36963
110,2019-10-01,21.53436
111,2019-10-02,21.08418
112,2019-10-03,21.10607
113,2019-10-04,20.70508
114,2019-10-05,19.42655
115,2019-10-06,18.90484
116,2019-10-07,20.15536
117,2019-10-08,20.8531
