,기간,범죄도시2
0,2019-06-13,0.00921
1,2019-06-14,0.01349
2,2019-06-15,0.01495
3,2019-06-16,0.01225
4,2019-06-17,0.02169
5,2019-06-18,0.01899
6,2019-06-19,0.02709
7,2019-06-20,0.06127
8,2019-06-21,0.02237
9,2019-06-22,0.02259
10,2019-06-23,0.02776
11,2019-06-24,0.14974
12,2019-06-25,0.02237
13,2019-06-26,0.03159
14,2019-06-27,0.04047
15,2019-06-28,0.0272
16,2019-06-29,0.02473
17,2019-06-30,0.02136
18,2019-07-01,0.12625
19,2019-07-02,0.14052
20,2019-07-03,0.10061
21,2019-07-04,0.06183
22,2019-07-05,0.12242
23,2019-07-06,0.10095
24,2019-07-07,0.03586
25,2019-07-08,0.02653
26,2019-07-09,0.0236
27,2019-07-10,0.0326
28,2019-07-11,0.03676
29,2019-07-12,0.02776
30,2019-07-13,0.02776
31,2019-07-14,0.02225
32,2019-07-15,0.01899
33,2019-07-16,0.01854
34,2019-07-17,0.01461
35,2019-07-18,0.01843
36,2019-07-19,0.01247
37,2019-07-20,0.01461
38,2019-07-21,0.02001
39,2019-07-22,0.06902
40,2019-07-23,0.02821
41,2019-07-24,0.01551
42,2019-07-25,0.01394
43,2019-07-26,0.01202
44,2019-07-27,0.01304
45,2019-07-28,0.09218
46,2019-07-29,0.09466
47,2019-07-30,0.03395
48,2019-07-31,0.02102
49,2019-08-01,0.01731
50,2019-08-02,0.01922
51,2019-08-03,0.02349
52,2019-08-04,0.02214
53,2019-08-05,0.01461
54,2019-08-06,0.01585
55,2019-08-07,0.01506
56,2019-08-08,0.01461
57,2019-08-09,0.0127
58,2019-08-10,0.0109
59,2019-08-11,0.01427
60,2019-08-12,0.01236
61,2019-08-13,0.01079
62,2019-08-14,0.01247
63,2019-08-15,0.01281
64,2019-08-16,0.08308
65,2019-08-17,0.01247
66,2019-08-18,0.01281
67,2019-08-19,0.01641
68,2019-08-20,0.01708
69,2019-08-21,0.0154
70,2019-08-22,0.01416
71,2019-08-23,0.04991
72,2019-08-24,0.08881
73,2019-08-25,0.02023
74,2019-08-26,0.02282
75,2019-08-27,0.02417
76,2019-08-28,0.02462
77,2019-08-29,0.01169
78,2019-08-30,0.01191
79,2019-08-31,0.01349
80,2019-09-01,0.01371
81,2019-09-02,0.01157
82,2019-09-03,0.01034
83,2019-09-04,0.01225
84,2019-09-05,0.01382
85,2019-09-06,0.03001
86,2019-09-07,0.03766
87,2019-09-08,0.01652
88,2019-09-09,0.01225
89,2019-09-10,0.01349
90,2019-09-11,0.01663
91,2019-09-12,0.0172
92,2019-09-13,0.02619
93,2019-09-14,0.02349
94,2019-09-15,0.02596
95,2019-09-16,0.08499
96,2019-09-17,0.08499
97,2019-09-18,0.04609
98,2019-09-19,0.02855
99,2019-09-20,0.01888
100,2019-09-21,0.01573
101,2019-09-22,0.03035
102,2019-09-23,0.09342
103,2019-09-24,0.02136
104,2019-09-25,0.01866
105,2019-09-26,0.01551
106,2019-09-27,0.0263
107,2019-09-28,0.03383
108,2019-09-29,0.02552
109,2019-09-30,0.03766
110,2019-10-01,0.02967
111,2019-10-02,0.029
112,2019-10-03,0.02439
113,2019-10-04,0.02507
114,2019-10-05,0.02023
115,2019-10-06,0.02214
116,2019-10-07,0.01944
117,2019-10-08,0.01787
118,2019-10-09,0.01765
119,2019-10-10,0.02776
120,2019-10-11,0.09331
121,2019-10-12,0.02698
122,2019-10-13,0.02293
123,2019-10-14,0.02293
124,2019-10-15,0.02484
125,2019-10-16,0.02878
126,2019-10-17,0.02934
127,2019-10-18,0.02394
128,2019-10-19,0.0227
129,2019-10-20,0.01922
130,2019-10-21,0.01877
131,2019-10-22,0.3783
132,2019-10-23,0.14446
133,2019-10-24,0.09027
134,2019-10-25,0.0679
135,2019-10-26,0.06217
136,2019-10-27,0.05846
137,2019-10-28,0.06172
138,2019-10-29,0.05407
139,2019-10-30,0.04856
140,2019-10-31,0.04676
141,2019-11-01,0.08465
142,2019-11-02,0.28859
143,2019-11-03,0.11366
144,2019-11-04,0.07408
145,2019-11-05,0.07015
146,2019-11-06,0.07701
147,2019-11-07,0.05171
148,2019-11-08,0.06059
149,2019-11-09,0.04036
150,2019-11-10,0.05722
151,2019-11-11,0.04654
152,2019-11-12,0.15312
153,2019-11-13,0.04811
154,2019-11-14,0.03946
155,2019-11-15,0.04036
156,2019-11-16,0.04957
157,2019-11-17,0.04643
158,2019-11-18,0.03856
159,2019-11-19,0.03305
160,2019-11-20,0.04036
161,2019-11-21,0.04395
162,2019-11-22,0.11377
163,2019-11-23,0.04238
164,2019-11-24,0.04328
165,2019-11-25,0.04024
166,2019-11-26,0.04227
167,2019-11-27,0.04182
168,2019-11-28,0.03473
169,2019-11-29,0.03811
170,2019-11-30,0.0317
171,2019-12-01,0.03204
172,2019-12-02,0.03102
173,2019-12-03,0.03125
174,2019-12-04,0.03777
175,2019-12-05,0.22675
176,2019-12-06,0.1231
177,2019-12-07,0.03192
178,2019-12-08,0.03473
179,2019-12-09,0.02686
180,2019-12-10,0.02731
181,2019-12-11,0.02799
182,2019-12-12,0.02675
183,2019-12-13,0.02776
184,2019-12-14,0.02529
185,2019-12-15,0.02923
186,2019-12-16,0.02552
187,2019-12-17,0.0272
188,2019-12-18,0.03012
189,2019-12-19,0.02507
190,2019-12-20,0.02653
191,2019-12-21,0.02349
192,2019-12-22,0.02675
193,2019-12-23,0.02495
194,2019-12-24,0.02349
195,2019-12-25,0.0263
196,2019-12-26,0.02405
197,2019-12-27,0.02518
198,2019-12-28,0.02529
199,2019-12-29,0.07745
200,2019-12-30,0.08634
201,2019-12-31,0.23507
202,2020-01-01,0.12613
203,2020-01-02,0.08611
204,2020-01-03,0.04935
205,2020-01-04,0.03754
206,2020-01-05,0.03766
207,2020-01-06,0.03361
208,2020-01-07,0.04586
209,2020-01-08,0.03631
210,2020-01-09,0.03428
211,2020-01-10,0.02608
212,2020-01-11,0.02675
213,2020-01-12,0.02675
214,2020-01-13,0.04463
215,2020-01-14,0.02608
216,2020-01-15,0.01989
217,2020-01-16,0.02169
218,2020-01-17,0.53929
219,2020-01-18,0.32434
220,2020-01-19,0.17583
221,2020-01-20,0.10106
222,2020-01-21,0.07543
223,2020-01-22,0.07858
224,2020-01-23,0.31725
225,2020-01-24,0.18336
226,2020-01-25,0.11849
227,2020-01-26,0.11084
228,2020-01-27,0.08712
229,2020-01-28,0.05654
230,2020-01-29,0.0589
