,기간,선바
0,2019-06-13,0.38386
1,2019-06-14,0.31004
2,2019-06-15,0.37613
3,2019-06-16,0.36769
4,2019-06-17,0.33254
5,2019-06-18,0.30582
6,2019-06-19,0.40003
7,2019-06-20,0.33394
8,2019-06-21,0.29598
9,2019-06-22,0.27629
10,2019-06-23,0.30582
11,2019-06-24,0.28403
12,2019-06-25,0.26504
13,2019-06-26,0.26575
14,2019-06-27,0.25801
15,2019-06-28,0.25801
16,2019-06-29,0.26786
17,2019-06-30,0.28895
18,2019-07-01,0.30371
19,2019-07-02,0.29035
20,2019-07-03,0.31144
21,2019-07-04,0.26504
22,2019-07-05,0.26997
23,2019-07-06,0.27629
24,2019-07-07,0.31285
25,2019-07-08,0.29106
26,2019-07-09,0.24676
27,2019-07-10,0.26504
28,2019-07-11,0.31074
29,2019-07-12,0.59266
30,2019-07-13,0.47244
31,2019-07-14,0.42604
32,2019-07-15,0.54486
33,2019-07-16,0.42464
34,2019-07-17,0.3923
35,2019-07-18,0.38808
36,2019-07-19,0.35503
37,2019-07-20,0.37402
38,2019-07-21,0.58704
39,2019-07-22,0.48229
40,2019-07-23,0.40847
41,2019-07-24,0.38808
42,2019-07-25,0.47666
43,2019-07-26,0.44573
44,2019-07-27,0.54556
45,2019-07-28,0.4401
46,2019-07-29,0.48018
47,2019-07-30,0.44713
48,2019-07-31,0.47104
49,2019-08-01,0.42956
50,2019-08-02,0.38878
51,2019-08-03,0.554
52,2019-08-04,0.61024
53,2019-08-05,0.56524
54,2019-08-06,0.51463
55,2019-08-07,0.50267
56,2019-08-08,0.57509
57,2019-08-09,1.14666
58,2019-08-10,0.63133
59,2019-08-11,0.49635
60,2019-08-12,0.46541
61,2019-08-13,0.45698
62,2019-08-14,0.49564
63,2019-08-15,0.51392
64,2019-08-16,0.54978
65,2019-08-17,0.4387
66,2019-08-18,0.48088
67,2019-08-19,0.49142
68,2019-08-20,0.35714
69,2019-08-21,0.42674
70,2019-08-22,0.45698
71,2019-08-23,0.4387
72,2019-08-24,0.39019
73,2019-08-25,0.39089
74,2019-08-26,0.3712
75,2019-08-27,0.31988
76,2019-08-28,0.35785
77,2019-08-29,0.35785
78,2019-08-30,0.35222
79,2019-08-31,0.31285
80,2019-09-01,0.38316
81,2019-09-02,0.37472
82,2019-09-03,0.36699
83,2019-09-04,0.33183
84,2019-09-05,0.34238
85,2019-09-06,0.36136
86,2019-09-07,0.29738
87,2019-09-08,0.35855
88,2019-09-09,0.3466
89,2019-09-10,0.29949
90,2019-09-11,0.30231
91,2019-09-12,0.36558
92,2019-09-13,0.30231
93,2019-09-14,0.28614
94,2019-09-15,0.38175
95,2019-09-16,0.33675
96,2019-09-17,0.36066
97,2019-09-18,0.28614
98,2019-09-19,0.31074
99,2019-09-20,0.30723
100,2019-09-21,0.31707
101,2019-09-22,0.3944
102,2019-09-23,0.28403
103,2019-09-24,0.31144
104,2019-09-25,0.2791
105,2019-09-26,0.3234
106,2019-09-27,0.31074
107,2019-09-28,0.30512
108,2019-09-29,0.27067
109,2019-09-30,0.30512
110,2019-10-01,0.30793
111,2019-10-02,0.29809
112,2019-10-03,0.32621
113,2019-10-04,0.3241
114,2019-10-05,0.30652
115,2019-10-06,0.28332
116,2019-10-07,0.31004
117,2019-10-08,0.29738
118,2019-10-09,0.31707
119,2019-10-10,0.30652
120,2019-10-11,0.3016
121,2019-10-12,0.3016
122,2019-10-13,0.32199
123,2019-10-14,0.29879
124,2019-10-15,0.24395
125,2019-10-16,0.25801
126,2019-10-17,0.24676
127,2019-10-18,0.26293
128,2019-10-19,0.28965
129,2019-10-20,0.29457
130,2019-10-21,0.26434
131,2019-10-22,0.28895
132,2019-10-23,0.2777
133,2019-10-24,0.28473
134,2019-10-25,0.22919
135,2019-10-26,0.24114
136,2019-10-27,0.24536
137,2019-10-28,0.29035
138,2019-10-29,0.23481
139,2019-10-30,0.24817
140,2019-10-31,0.20247
141,2019-11-01,0.23903
142,2019-11-02,0.25661
143,2019-11-03,0.25239
144,2019-11-04,0.27278
145,2019-11-05,0.26856
146,2019-11-06,0.26504
147,2019-11-07,0.24817
148,2019-11-08,0.277
149,2019-11-09,0.28614
150,2019-11-10,0.25801
151,2019-11-11,0.28543
152,2019-11-12,0.26434
153,2019-11-13,0.26504
154,2019-11-14,0.22778
155,2019-11-15,0.22567
156,2019-11-16,0.25661
157,2019-11-17,0.28543
158,2019-11-18,0.28754
159,2019-11-19,0.26083
160,2019-11-20,0.22216
161,2019-11-21,0.22708
162,2019-11-22,0.24044
163,2019-11-23,0.22708
164,2019-11-24,0.25942
165,2019-11-25,0.26083
166,2019-11-26,0.27278
167,2019-11-27,0.22919
168,2019-11-28,0.23059
169,2019-11-29,0.25942
170,2019-11-30,0.23833
171,2019-12-01,0.29317
172,2019-12-02,0.24466
173,2019-12-03,0.28192
174,2019-12-04,0.23341
175,2019-12-05,0.43448
176,2019-12-06,0.34378
177,2019-12-07,0.28192
178,2019-12-08,0.33465
179,2019-12-09,0.34519
180,2019-12-10,0.30863
181,2019-12-11,0.31004
182,2019-12-12,0.30371
183,2019-12-13,0.33324
184,2019-12-14,0.48439
185,2019-12-15,0.33816
186,2019-12-16,0.36136
187,2019-12-17,0.36558
188,2019-12-18,0.36417
189,2019-12-19,0.32551
190,2019-12-20,0.30512
191,2019-12-21,0.29809
192,2019-12-22,0.36417
193,2019-12-23,0.37823
194,2019-12-24,0.30301
195,2019-12-25,0.34168
196,2019-12-26,0.36347
197,2019-12-27,0.4176
198,2019-12-28,0.33535
199,2019-12-29,0.36699
200,2019-12-30,0.36839
201,2019-12-31,0.35855
202,2020-01-01,0.36066
203,2020-01-02,0.3923
204,2020-01-03,0.34027
205,2020-01-04,0.36909
206,2020-01-05,0.39651
207,2020-01-06,0.39792
208,2020-01-07,0.35714
209,2020-01-08,0.34871
210,2020-01-09,0.41339
211,2020-01-10,0.4858
212,2020-01-11,0.4387
213,2020-01-12,0.44713
214,2020-01-13,0.43167
215,2020-01-14,0.49424
216,2020-01-15,0.38948
217,2020-01-16,0.61235
218,2020-01-17,0.42815
219,2020-01-18,0.42674
220,2020-01-19,0.42464
221,2020-01-20,0.39159
222,2020-01-21,0.39089
223,2020-01-22,0.41901
224,2020-01-23,0.41901
225,2020-01-24,0.36628
