,기간,세븐틴
0,2019-06-13,2.72489
1,2019-06-14,2.696
2,2019-06-15,3.5731
3,2019-06-16,3.05098
4,2019-06-17,3.04441
5,2019-06-18,2.51769
6,2019-06-19,4.27485
7,2019-06-20,2.91798
8,2019-06-21,88.60421
9,2019-06-22,5.71874
10,2019-06-23,3.46999
11,2019-06-24,3.17543
12,2019-06-25,2.70256
13,2019-06-26,2.47861
14,2019-06-27,2.60175
15,2019-06-28,4.52278
16,2019-06-29,5.17133
17,2019-06-30,3.20302
18,2019-07-01,2.63886
19,2019-07-02,2.49897
20,2019-07-03,2.77317
21,2019-07-04,2.50324
22,2019-07-05,3.02536
23,2019-07-06,2.79057
24,2019-07-07,2.86052
25,2019-07-08,2.57877
26,2019-07-09,2.43658
27,2019-07-10,2.56005
28,2019-07-11,2.71734
29,2019-07-12,5.63073
30,2019-07-13,3.06904
31,2019-07-14,2.75543
32,2019-07-15,2.64838
33,2019-07-16,3.00336
34,2019-07-17,3.06247
35,2019-07-18,2.96658
36,2019-07-19,2.85132
37,2019-07-20,2.97643
38,2019-07-21,2.80797
39,2019-07-22,2.65561
40,2019-07-23,2.66579
41,2019-07-24,3.95041
42,2019-07-25,3.8253
43,2019-07-26,3.63287
44,2019-07-27,2.92455
45,2019-07-28,3.32025
46,2019-07-29,3.63155
47,2019-07-30,3.66833
48,2019-07-31,3.88933
49,2019-08-01,4.17404
50,2019-08-02,4.63705
51,2019-08-03,6.40834
52,2019-08-04,4.97463
53,2019-08-05,13.72104
54,2019-08-06,7.64337
55,2019-08-07,6.04121
56,2019-08-08,8.60323
57,2019-08-09,7.4736
58,2019-08-10,30.79977
59,2019-08-11,21.71808
60,2019-08-12,9.26426
61,2019-08-13,5.81397
62,2019-08-14,6.08193
63,2019-08-15,5.20351
64,2019-08-16,5.47771
65,2019-08-17,4.4259
66,2019-08-18,4.24398
67,2019-08-19,3.86043
68,2019-08-20,3.8496
69,2019-08-21,3.40825
70,2019-08-22,3.26968
71,2019-08-23,3.10516
72,2019-08-24,3.21911
73,2019-08-25,3.34718
74,2019-08-26,2.87004
75,2019-08-27,3.00435
76,2019-08-28,3.15113
77,2019-08-29,3.35374
78,2019-08-30,3.67063
79,2019-08-31,4.72933
80,2019-09-01,4.53952
81,2019-09-02,3.74123
82,2019-09-03,3.44667
83,2019-09-04,3.28544
84,2019-09-05,3.2503
85,2019-09-06,3.41942
86,2019-09-07,3.86175
87,2019-09-08,3.87061
88,2019-09-09,3.85452
89,2019-09-10,3.4516
90,2019-09-11,3.89853
91,2019-09-12,4.63869
92,2019-09-13,3.7872
93,2019-09-14,3.72448
94,2019-09-15,4.63475
95,2019-09-16,14.76988
96,2019-09-17,8.60487
97,2019-09-18,6.08521
98,2019-09-19,6.68779
99,2019-09-20,6.7377
100,2019-09-21,6.73704
101,2019-09-22,6.98103
102,2019-09-23,5.82513
103,2019-09-24,4.68303
104,2019-09-25,4.70174
105,2019-09-26,5.70232
106,2019-09-27,7.1114
107,2019-09-28,6.92521
108,2019-09-29,7.25753
109,2019-09-30,4.28076
110,2019-10-01,4.09752
111,2019-10-02,4.30375
112,2019-10-03,4.58681
113,2019-10-04,6.36302
114,2019-10-05,4.23741
115,2019-10-06,5.28922
116,2019-10-07,3.82431
117,2019-10-08,3.30186
118,2019-10-09,3.58656
119,2019-10-10,3.49757
120,2019-10-11,3.40037
121,2019-10-12,3.41843
122,2019-10-13,4.01806
123,2019-10-14,3.74583
124,2019-10-15,3.51432
125,2019-10-16,3.30744
126,2019-10-17,3.07757
127,2019-10-18,3.04145
128,2019-10-19,3.43617
129,2019-10-20,4.07684
130,2019-10-21,3.5176
131,2019-10-22,3.20499
132,2019-10-23,3.01223
133,2019-10-24,2.96133
134,2019-10-25,2.86741
135,2019-10-26,3.05098
136,2019-10-27,3.1554
137,2019-10-28,3.17642
138,2019-10-29,2.90616
139,2019-10-30,3.09367
140,2019-10-31,3.28872
141,2019-11-01,3.25227
142,2019-11-02,3.37706
143,2019-11-03,7.42205
144,2019-11-04,3.51366
145,2019-11-05,3.04178
146,2019-11-06,3.21254
147,2019-11-07,3.37082
148,2019-11-08,3.14752
149,2019-11-09,3.19743
150,2019-11-10,3.50184
151,2019-11-11,3.11403
152,2019-11-12,2.94786
153,2019-11-13,2.97118
154,2019-11-14,3.24374
155,2019-11-15,3.22173
156,2019-11-16,3.23126
157,2019-11-17,3.61776
158,2019-11-18,4.92209
159,2019-11-19,5.39495
160,2019-11-20,3.84434
161,2019-11-21,18.04843
162,2019-11-22,7.89656
163,2019-11-23,4.11197
164,2019-11-24,3.97405
165,2019-11-25,3.52384
166,2019-11-26,4.22329
167,2019-11-27,6.53542
168,2019-11-28,3.65979
169,2019-11-29,3.65388
170,2019-11-30,4.46892
171,2019-12-01,4.53263
172,2019-12-02,3.52384
173,2019-12-03,3.81873
