,기간,손석구
0,2019-06-13,0.05785
1,2019-06-14,0.02906
2,2019-06-15,0.0264
3,2019-06-16,0.02331
4,2019-06-17,0.04169
5,2019-06-18,0.02494
6,2019-06-19,0.02759
7,2019-06-20,0.01984
8,2019-06-21,0.02591
9,2019-06-22,0.02163
10,2019-06-23,0.02678
11,2019-06-24,0.02646
12,2019-06-25,0.02564
13,2019-06-26,0.03443
14,2019-06-27,0.03481
15,2019-06-28,0.03638
16,2019-06-29,0.03502
17,2019-06-30,0.04581
18,2019-07-01,0.34247
19,2019-07-02,0.66662
20,2019-07-03,0.44067
21,2019-07-04,0.23386
22,2019-07-05,0.11207
23,2019-07-06,0.13696
24,2019-07-07,0.28835
25,2019-07-08,0.37435
26,2019-07-09,1.3308
27,2019-07-10,0.56842
28,2019-07-11,0.37506
29,2019-07-12,0.66022
30,2019-07-13,0.22068
31,2019-07-14,0.31178
32,2019-07-15,1.65511
33,2019-07-16,3.36488
34,2019-07-17,0.49901
35,2019-07-18,0.33385
36,2019-07-19,0.24367
37,2019-07-20,0.21483
38,2019-07-21,0.28966
39,2019-07-22,0.53355
40,2019-07-23,0.94278
41,2019-07-24,0.55139
42,2019-07-25,0.30056
43,2019-07-26,0.22101
44,2019-07-27,0.32523
45,2019-07-28,0.22003
46,2019-07-29,6.7642
47,2019-07-30,0.97097
48,2019-07-31,0.7293
49,2019-08-01,31.72392
50,2019-08-02,0.89045
51,2019-08-03,0.42196
52,2019-08-04,0.41556
53,2019-08-05,0.56788
54,2019-08-06,1.12247
55,2019-08-07,1.31101
56,2019-08-08,0.64807
57,2019-08-09,0.6003
58,2019-08-10,0.38558
59,2019-08-11,0.34865
60,2019-08-12,0.67285
61,2019-08-13,0.56685
62,2019-08-14,0.48594
63,2019-08-15,0.37143
64,2019-08-16,100.0
65,2019-08-17,2.36495
66,2019-08-18,0.39387
67,2019-08-19,0.43205
68,2019-08-20,0.59233
69,2019-08-21,0.98122
70,2019-08-22,0.38731
71,2019-08-23,0.23044
72,2019-08-24,0.26368
73,2019-08-25,0.18007
74,2019-08-26,0.17291
75,2019-08-27,0.12135
76,2019-08-28,0.13062
77,2019-08-29,0.11213
78,2019-08-30,0.11267
79,2019-08-31,0.10709
