,기간,손흥민
0,2019-06-13,3.23222
1,2019-06-14,3.46602
2,2019-06-15,4.39106
3,2019-06-16,6.45441
4,2019-06-17,2.81563
5,2019-06-18,2.37126
6,2019-06-19,2.08596
7,2019-06-20,1.94099
8,2019-06-21,2.368
9,2019-06-22,3.60883
10,2019-06-23,1.93373
11,2019-06-24,1.64873
12,2019-06-25,1.86805
13,2019-06-26,1.47555
14,2019-06-27,1.37827
15,2019-06-28,1.58367
16,2019-06-29,1.82893
17,2019-06-30,1.4514
18,2019-07-01,1.28956
19,2019-07-02,1.29098
20,2019-07-03,1.74921
21,2019-07-04,1.36909
22,2019-07-05,1.38739
23,2019-07-06,1.66259
24,2019-07-07,1.43754
25,2019-07-08,2.493
26,2019-07-09,1.43126
27,2019-07-10,1.25475
28,2019-07-11,1.51954
29,2019-07-12,1.23048
30,2019-07-13,1.26301
31,2019-07-14,1.21754
32,2019-07-15,1.19475
33,2019-07-16,1.1746
34,2019-07-17,1.20972
35,2019-07-18,1.27169
36,2019-07-19,1.31981
37,2019-07-20,1.47032
38,2019-07-21,12.36039
39,2019-07-22,7.52816
40,2019-07-23,1.64448
41,2019-07-24,1.57936
42,2019-07-25,2.17757
43,2019-07-26,2.79087
44,2019-07-27,1.62939
45,2019-07-28,1.38222
46,2019-07-29,1.28691
47,2019-07-30,1.39238
48,2019-07-31,5.95588
49,2019-08-01,4.02172
50,2019-08-02,1.34347
51,2019-08-03,1.27964
52,2019-08-04,1.71311
53,2019-08-05,2.13432
54,2019-08-06,1.2335
55,2019-08-07,1.45183
56,2019-08-08,1.32431
57,2019-08-09,1.44481
58,2019-08-10,1.81033
59,2019-08-11,13.66216
60,2019-08-12,1.85129
61,2019-08-13,1.48091
62,2019-08-14,1.31716
63,2019-08-15,1.42251
64,2019-08-16,1.29831
65,2019-08-17,1.7059
66,2019-08-18,3.29241
67,2019-08-19,1.5419
68,2019-08-20,1.46668
69,2019-08-21,1.28937
70,2019-08-22,1.29128
71,2019-08-23,1.29683
72,2019-08-24,1.74003
73,2019-08-25,3.69693
74,2019-08-26,23.03435
75,2019-08-27,1.30995
76,2019-08-28,1.14946
77,2019-08-29,1.07085
78,2019-08-30,1.16265
79,2019-08-31,1.41733
80,2019-09-01,2.17393
81,2019-09-02,13.78044
82,2019-09-03,1.72851
83,2019-09-04,1.31747
84,2019-09-05,2.38845
85,2019-09-06,2.44507
86,2019-09-07,1.34119
87,2019-09-08,1.17669
88,2019-09-09,1.11219
89,2019-09-10,1.5963
90,2019-09-11,2.43194
91,2019-09-12,1.18791
92,2019-09-13,1.31741
93,2019-09-14,7.62304
94,2019-09-15,42.63121
95,2019-09-16,5.05888
96,2019-09-17,2.63198
97,2019-09-18,2.91987
98,2019-09-19,3.5458
99,2019-09-20,1.59254
100,2019-09-21,4.12571
101,2019-09-22,2.60968
102,2019-09-23,1.39817
103,2019-09-24,1.34291
104,2019-09-25,1.81125
105,2019-09-26,1.56057
106,2019-09-27,1.37864
107,2019-09-28,2.52614
108,2019-09-29,5.88787
109,2019-09-30,1.6507
110,2019-10-01,1.61355
111,2019-10-02,8.04289
112,2019-10-03,1.93243
113,2019-10-04,1.46884
114,2019-10-05,3.81145
115,2019-10-06,3.01228
116,2019-10-07,2.31076
117,2019-10-08,1.60788
118,2019-10-09,1.32695
119,2019-10-10,3.56293
120,2019-10-11,2.17128
121,2019-10-12,1.29781
122,2019-10-13,1.35979
123,2019-10-14,1.41302
124,2019-10-15,1.54252
125,2019-10-16,1.82326
126,2019-10-17,3.26568
127,2019-10-18,2.68361
128,2019-10-19,3.45025
129,2019-10-20,3.01481
130,2019-10-21,1.94913
131,2019-10-22,2.23579
132,2019-10-23,17.2079
133,2019-10-24,3.24756
134,2019-10-25,2.3667
135,2019-10-26,2.1066
136,2019-10-27,2.33165
137,2019-10-28,5.23945
138,2019-10-29,1.99878
139,2019-10-30,1.99891
140,2019-10-31,1.84218
141,2019-11-01,1.73184
142,2019-11-02,1.80792
143,2019-11-03,2.1342
144,2019-11-04,91.0458
145,2019-11-05,16.56903
146,2019-11-06,10.47336
147,2019-11-07,16.92137
148,2019-11-08,4.88182
149,2019-11-09,4.03755
150,2019-11-10,8.3216
151,2019-11-11,3.87232
152,2019-11-12,2.78594
153,2019-11-13,2.55596
154,2019-11-14,2.72673
155,2019-11-15,2.15212
156,2019-11-16,1.86017
157,2019-11-17,1.84353
158,2019-11-18,1.75192
159,2019-11-19,2.56335
160,2019-11-20,5.75751
161,2019-11-21,3.36597
162,2019-11-22,3.83351
163,2019-11-23,8.86141
164,2019-11-24,11.59227
165,2019-11-25,5.02617
166,2019-11-26,3.69305
167,2019-11-27,5.99513
168,2019-11-28,2.69396
169,2019-11-29,2.25026
170,2019-11-30,3.24534
171,2019-12-01,7.4477
172,2019-12-02,2.95887
173,2019-12-03,3.33363
174,2019-12-04,2.67794
175,2019-12-05,4.08049
176,2019-12-06,1.76849
177,2019-12-07,2.4243
178,2019-12-08,37.38818
179,2019-12-09,13.51855
180,2019-12-10,6.07737
181,2019-12-11,4.93523
182,2019-12-12,4.41958
183,2019-12-13,2.64541
184,2019-12-14,2.80116
185,2019-12-15,4.20747
186,2019-12-16,4.32421
187,2019-12-17,2.16463
188,2019-12-18,2.96854
189,2019-12-19,2.24176
190,2019-12-20,2.17264
191,2019-12-21,2.20227
192,2019-12-22,2.44839
193,2019-12-23,16.43793
194,2019-12-24,4.7583
195,2019-12-25,3.15195
196,2019-12-26,3.2576
197,2019-12-27,2.76241
198,2019-12-28,2.19346
199,2019-12-29,2.63568
200,2019-12-30,1.97851
201,2019-12-31,1.90982
202,2020-01-01,2.82013
203,2020-01-02,3.26943
204,2020-01-03,2.08362
205,2020-01-04,2.33559
206,2020-01-05,3.54722
207,2020-01-06,5.01711
208,2020-01-07,1.55053
209,2020-01-08,1.45867
210,2020-01-09,1.54788
211,2020-01-10,1.46169
212,2020-01-11,1.89263
213,2020-01-12,4.70304
214,2020-01-13,1.33706
215,2020-01-14,1.29929
216,2020-01-15,8.2733
217,2020-01-16,1.22099
218,2020-01-17,1.2205
219,2020-01-18,2.44328
220,2020-01-19,2.1098
