,기간,승민
0,2019-06-13,0.34782
1,2019-06-14,0.36173
2,2019-06-15,0.53565
3,2019-06-16,0.33391
4,2019-06-17,0.37565
5,2019-06-18,0.48695
6,2019-06-19,0.41043
7,2019-06-20,1.12695
8,2019-06-21,0.62608
9,2019-06-22,0.48695
10,2019-06-23,0.39652
11,2019-06-24,0.37565
12,2019-06-25,0.41043
13,2019-06-26,0.46608
14,2019-06-27,0.51478
15,2019-06-28,0.42434
16,2019-06-29,0.45217
17,2019-06-30,0.46608
18,2019-07-01,0.41043
19,2019-07-02,0.45217
20,2019-07-03,0.34086
21,2019-07-04,0.39652
22,2019-07-05,0.56347
23,2019-07-06,0.36869
24,2019-07-07,0.47304
25,2019-07-08,0.50782
26,2019-07-09,0.30608
27,2019-07-10,0.41043
28,2019-07-11,0.46608
29,2019-07-12,0.43826
30,2019-07-13,0.40347
31,2019-07-14,0.40347
32,2019-07-15,0.53565
33,2019-07-16,0.41739
34,2019-07-17,0.48695
35,2019-07-18,0.30608
36,2019-07-19,0.36173
37,2019-07-20,0.32695
38,2019-07-21,0.36173
39,2019-07-22,0.45217
40,2019-07-23,0.50782
41,2019-07-24,0.36869
42,2019-07-25,0.48695
43,2019-07-26,0.3826
44,2019-07-27,0.62608
45,2019-07-28,0.58434
46,2019-07-29,0.61217
47,2019-07-30,0.57739
48,2019-07-31,0.4313
49,2019-08-01,0.66782
50,2019-08-02,0.61217
51,2019-08-03,0.61913
52,2019-08-04,0.50086
53,2019-08-05,0.56347
54,2019-08-06,0.61913
55,2019-08-07,0.55652
56,2019-08-08,0.43826
57,2019-08-09,1.44
58,2019-08-10,0.98086
59,2019-08-11,0.69565
60,2019-08-12,0.70956
61,2019-08-13,0.47304
62,2019-08-14,0.64
63,2019-08-15,1.15478
64,2019-08-16,0.54956
65,2019-08-17,0.60521
66,2019-08-18,0.52869
67,2019-08-19,0.29217
68,2019-08-20,0.58434
69,2019-08-21,0.32695
70,2019-08-22,0.50086
71,2019-08-23,0.61217
72,2019-08-24,0.57739
73,2019-08-25,0.38956
74,2019-08-26,0.51478
75,2019-08-27,0.31304
76,2019-08-28,0.37565
77,2019-08-29,0.36173
78,2019-08-30,0.45913
79,2019-08-31,0.48695
80,2019-09-01,0.60521
81,2019-09-02,0.39652
82,2019-09-03,0.40347
83,2019-09-04,0.27826
84,2019-09-05,0.36173
85,2019-09-06,0.8626
86,2019-09-07,1.00173
87,2019-09-08,0.57739
88,2019-09-09,0.5913
89,2019-09-10,0.36173
90,2019-09-11,0.36869
91,2019-09-12,0.37565
92,2019-09-13,0.53565
93,2019-09-14,0.47999
94,2019-09-15,0.59826
95,2019-09-16,0.52173
96,2019-09-17,0.51478
97,2019-09-18,0.42434
98,2019-09-19,0.45913
99,2019-09-20,0.84869
100,2019-09-21,1.2313
101,2019-09-22,1.5513
102,2019-09-23,0.68173
103,2019-09-24,0.47999
104,2019-09-25,0.44521
105,2019-09-26,0.4313
106,2019-09-27,1.06434
107,2019-09-28,1.05739
108,2019-09-29,0.74434
109,2019-09-30,0.5913
110,2019-10-01,0.47304
111,2019-10-02,0.50086
112,2019-10-03,0.59826
113,2019-10-04,0.7026
114,2019-10-05,0.9113
115,2019-10-06,0.77217
116,2019-10-07,0.66782
117,2019-10-08,0.52173
118,2019-10-09,0.60521
119,2019-10-10,0.55652
120,2019-10-11,0.86956
121,2019-10-12,0.65391
122,2019-10-13,0.7513
123,2019-10-14,0.56347
124,2019-10-15,0.90434
125,2019-10-16,0.5913
126,2019-10-17,0.53565
127,2019-10-18,0.55652
128,2019-10-19,0.51478
129,2019-10-20,0.57739
130,2019-10-21,0.52869
131,2019-10-22,0.48695
132,2019-10-23,0.38956
133,2019-10-24,0.27826
134,2019-10-25,0.44521
135,2019-10-26,0.37565
136,2019-10-27,0.2226
137,2019-10-28,0.61217
138,2019-10-29,0.3826
139,2019-10-30,0.15304
140,2019-10-31,0.25739
141,2019-11-01,0.29913
142,2019-11-02,0.43826
143,2019-11-03,0.4313
144,2019-11-04,0.26434
145,2019-11-05,0.36869
146,2019-11-06,0.28521
147,2019-11-07,0.29217
148,2019-11-08,0.37565
149,2019-11-09,0.36869
150,2019-11-10,0.55652
151,2019-11-11,0.36869
152,2019-11-12,0.48695
153,2019-11-13,0.52869
154,2019-11-14,0.53565
155,2019-11-15,0.3826
156,2019-11-16,0.52869
157,2019-11-17,0.3826
158,2019-11-18,0.39652
159,2019-11-19,0.3826
160,2019-11-20,0.39652
161,2019-11-21,0.38956
162,2019-11-22,0.48695
163,2019-11-23,0.65391
164,2019-11-24,0.4313
165,2019-11-25,0.42434
166,2019-11-26,0.41043
167,2019-11-27,0.34086
168,2019-11-28,0.47999
169,2019-11-29,0.58434
170,2019-11-30,0.58434
171,2019-12-01,0.57043
172,2019-12-02,0.5426
173,2019-12-03,0.39652
174,2019-12-04,0.52173
175,2019-12-05,0.46608
176,2019-12-06,0.41043
177,2019-12-07,0.57739
178,2019-12-08,0.4313
179,2019-12-09,0.42434
180,2019-12-10,0.52869
181,2019-12-11,0.42434
182,2019-12-12,0.44521
183,2019-12-13,0.57043
184,2019-12-14,0.5913
185,2019-12-15,0.61913
186,2019-12-16,0.70956
187,2019-12-17,0.36173
188,2019-12-18,0.45913
189,2019-12-19,0.39652
190,2019-12-20,1.00173
191,2019-12-21,0.61217
192,2019-12-22,0.61217
193,2019-12-23,0.56347
194,2019-12-24,0.42434
195,2019-12-25,0.89043
196,2019-12-26,0.61217
197,2019-12-27,0.7026
198,2019-12-28,0.5913
199,2019-12-29,0.62608
200,2019-12-30,0.33391
201,2019-12-31,0.3826
202,2020-01-01,0.49391
203,2020-01-02,0.52173
204,2020-01-03,0.5913
205,2020-01-04,0.54956
206,2020-01-05,0.82782
207,2020-01-06,0.61913
208,2020-01-07,0.47999
209,2020-01-08,0.56347
210,2020-01-09,0.67478
211,2020-01-10,0.46608
212,2020-01-11,0.41739
213,2020-01-12,0.36869
214,2020-01-13,0.45913
215,2020-01-14,0.5426
216,2020-01-15,0.58434
217,2020-01-16,0.56347
218,2020-01-17,0.44521
219,2020-01-18,0.47304
220,2020-01-19,0.57739
221,2020-01-20,0.7026
222,2020-01-21,0.37565
223,2020-01-22,0.43826
224,2020-01-23,1.40521
225,2020-01-24,1.06434
226,2020-01-25,0.86956
227,2020-01-26,0.77217
228,2020-01-27,0.93913
229,2020-01-28,0.52173
230,2020-01-29,0.72347
231,2020-01-30,1.18956
232,2020-01-31,1.76695
233,2020-02-01,0.81391
234,2020-02-02,0.69565
235,2020-02-03,0.60521
236,2020-02-04,0.59826
237,2020-02-05,0.64
238,2020-02-06,0.57043
239,2020-02-07,0.99478
240,2020-02-08,0.55652
241,2020-02-09,0.8
242,2020-02-10,0.56347
243,2020-02-11,0.60521
244,2020-02-12,0.54956
245,2020-02-13,0.85565
246,2020-02-14,0.84869
247,2020-02-15,0.61217
248,2020-02-16,0.55652
249,2020-02-17,0.45913
250,2020-02-18,0.55652
251,2020-02-19,0.45913
252,2020-02-20,0.73043
253,2020-02-21,1.44
254,2020-02-22,0.47304
255,2020-02-23,0.7026
256,2020-02-24,0.59826
257,2020-02-25,0.54956
258,2020-02-26,0.62608
259,2020-02-27,0.65391
260,2020-02-28,0.55652
261,2020-02-29,0.4313
262,2020-03-01,1.58608
263,2020-03-02,0.61217
264,2020-03-03,0.65391
265,2020-03-04,0.58434
266,2020-03-05,0.62608
267,2020-03-06,0.5913
268,2020-03-07,0.56347
269,2020-03-08,1.55826
270,2020-03-09,0.55652
271,2020-03-10,0.66782
272,2020-03-11,0.47999
273,2020-03-12,0.7026
274,2020-03-13,0.73043
275,2020-03-14,0.61217
276,2020-03-15,0.64695
277,2020-03-16,0.5426
278,2020-03-17,0.55652
279,2020-03-18,0.66086
280,2020-03-19,0.69565
281,2020-03-20,0.63304
282,2020-03-21,0.65391
283,2020-03-22,0.64
284,2020-03-23,0.81391
285,2020-03-24,1.00173
286,2020-03-25,0.87652
287,2020-03-26,0.66086
288,2020-03-27,0.67478
289,2020-03-28,0.61217
290,2020-03-29,0.5426
291,2020-03-30,0.64
292,2020-03-31,0.52869
293,2020-04-01,0.62608
294,2020-04-02,0.59826
295,2020-04-03,0.60521
296,2020-04-04,0.58434
297,2020-04-05,0.5426
298,2020-04-06,0.68173
299,2020-04-07,0.85565
300,2020-04-08,1.05739
301,2020-04-09,0.76521
302,2020-04-10,0.72347
303,2020-04-11,0.81391
304,2020-04-12,0.68173
305,2020-04-13,0.70956
306,2020-04-14,0.77913
307,2020-04-15,1.0713
308,2020-04-16,0.92521
309,2020-04-17,0.57043
310,2020-04-18,0.67478
311,2020-04-19,0.66086
312,2020-04-20,0.82782
313,2020-04-21,0.95304
314,2020-04-22,1.3426
315,2020-04-23,0.77217
316,2020-04-24,0.78608
317,2020-04-25,0.69565
318,2020-04-26,0.7513
319,2020-04-27,0.69565
320,2020-04-28,0.73739
321,2020-04-29,0.54956
322,2020-04-30,0.82086
323,2020-05-01,0.67478
324,2020-05-02,0.51478
325,2020-05-03,0.61217
326,2020-05-04,0.91826
327,2020-05-05,1.03652
328,2020-05-06,1.18956
329,2020-05-07,1.6
330,2020-05-08,0.99478
331,2020-05-09,0.90434
332,2020-05-10,0.8
333,2020-05-11,0.82086
334,2020-05-12,1.0226
335,2020-05-13,0.80695
336,2020-05-14,0.73043
337,2020-05-15,0.8
338,2020-05-16,0.70956
339,2020-05-17,0.64
340,2020-05-18,0.61217
341,2020-05-19,0.56347
342,2020-05-20,0.64695
343,2020-05-21,0.64
344,2020-05-22,0.56347
345,2020-05-23,0.70956
346,2020-05-24,0.64
347,2020-05-25,0.5913
348,2020-05-26,1.61391
349,2020-05-27,0.96695
350,2020-05-28,0.78608
351,2020-05-29,0.67478
352,2020-05-30,0.64
353,2020-05-31,1.01565
354,2020-06-01,0.68173
355,2020-06-02,0.84869
356,2020-06-03,0.51478
357,2020-06-04,0.60521
