,기간,아우터
0,2019-06-13,2.27478
1,2019-06-14,2.20521
2,2019-06-15,2.4
3,2019-06-16,2.3513
4,2019-06-17,2.30956
5,2019-06-18,2.3513
6,2019-06-19,2.12173
7,2019-06-20,2.37913
8,2019-06-21,2.16347
9,2019-06-22,2.58782
10,2019-06-23,2.36521
11,2019-06-24,2.25391
12,2019-06-25,2.12869
13,2019-06-26,2.15652
14,2019-06-27,1.94782
15,2019-06-28,2.00347
16,2019-06-29,2.15652
17,2019-06-30,2.05913
18,2019-07-01,1.88521
19,2019-07-02,2.21217
20,2019-07-03,2.02434
21,2019-07-04,2.26086
22,2019-07-05,1.90608
23,2019-07-06,2.12173
24,2019-07-07,1.89217
25,2019-07-08,1.90608
26,2019-07-09,2.03826
27,2019-07-10,2.02434
28,2019-07-11,2.18434
29,2019-07-12,1.83652
30,2019-07-13,1.85739
31,2019-07-14,2.10782
32,2019-07-15,2.03826
33,2019-07-16,1.8713
34,2019-07-17,1.81565
35,2019-07-18,1.88521
36,2019-07-19,1.69043
37,2019-07-20,2.00347
38,2019-07-21,1.80869
39,2019-07-22,1.76695
40,2019-07-23,1.86434
41,2019-07-24,1.76
42,2019-07-25,1.97565
43,2019-07-26,1.94782
44,2019-07-27,1.6
45,2019-07-28,1.61391
46,2019-07-29,1.70434
47,2019-07-30,1.97565
48,2019-07-31,1.77391
49,2019-08-01,1.76
50,2019-08-02,1.64173
51,2019-08-03,1.6626
52,2019-08-04,1.94782
53,2019-08-05,1.89913
54,2019-08-06,1.91304
55,2019-08-07,1.64173
56,2019-08-08,1.80869
57,2019-08-09,1.69739
58,2019-08-10,1.62086
59,2019-08-11,2.19826
60,2019-08-12,2.12173
61,2019-08-13,2.06608
62,2019-08-14,2.1913
63,2019-08-15,2.60869
64,2019-08-16,1.97565
65,2019-08-17,3.49217
66,2019-08-18,2.53217
67,2019-08-19,2.59478
68,2019-08-20,2.34434
69,2019-08-21,2.58086
70,2019-08-22,2.4
71,2019-08-23,2.38608
72,2019-08-24,2.6226
73,2019-08-25,2.89391
74,2019-08-26,2.6226
75,2019-08-27,3.15826
76,2019-08-28,3.33913
77,2019-08-29,3.04
78,2019-08-30,3.19304
79,2019-08-31,3.33913
80,2019-09-01,4.04869
81,2019-09-02,3.69391
82,2019-09-03,4.13913
83,2019-09-04,3.89565
84,2019-09-05,3.73565
85,2019-09-06,3.2626
86,2019-09-07,3.87478
87,2019-09-08,3.78434
88,2019-09-09,3.15826
89,2019-09-10,2.92173
90,2019-09-11,2.69913
91,2019-09-12,3.59652
92,2019-09-13,3.29043
93,2019-09-14,3.97913
94,2019-09-15,4.1113
95,2019-09-16,3.61739
96,2019-09-17,3.83304
97,2019-09-18,4.3826
98,2019-09-19,4.55652
99,2019-09-20,4.61913
100,2019-09-21,5.62086
101,2019-09-22,6.86608
102,2019-09-23,5.54434
103,2019-09-24,5.59304
104,2019-09-25,5.61391
105,2019-09-26,5.08521
106,2019-09-27,4.94608
107,2019-09-28,4.21565
108,2019-09-29,4.79304
109,2019-09-30,3.7426
110,2019-10-01,4.25739
111,2019-10-02,3.76347
112,2019-10-03,4.29913
113,2019-10-04,3.65913
114,2019-10-05,4.3826
115,2019-10-06,5.25217
116,2019-10-07,7.13739
117,2019-10-08,7.38086
118,2019-10-09,8.1113
119,2019-10-10,8.29217
120,2019-10-11,6.18434
121,2019-10-12,6.23304
122,2019-10-13,6.3026
123,2019-10-14,6.93565
124,2019-10-15,7.7913
125,2019-10-16,7.59652
126,2019-10-17,7.29739
127,2019-10-18,6.69217
128,2019-10-19,5.88521
129,2019-10-20,6.39304
130,2019-10-21,6.5113
131,2019-10-22,6.08695
132,2019-10-23,6.34434
133,2019-10-24,6.24
134,2019-10-25,6.07304
135,2019-10-26,7.6313
136,2019-10-27,8.41043
137,2019-10-28,9.81565
138,2019-10-29,9.65565
139,2019-10-30,9.96869
140,2019-10-31,8.15304
141,2019-11-01,8.7026
142,2019-11-02,8.58434
143,2019-11-03,9.45391
144,2019-11-04,10.16347
145,2019-11-05,10.3513
146,2019-11-06,11.07478
147,2019-11-07,10.13565
148,2019-11-08,9.97565
149,2019-11-09,9.10608
150,2019-11-10,11.19304
151,2019-11-11,9.57913
152,2019-11-12,9.15478
153,2019-11-13,8.96
154,2019-11-14,8.28521
155,2019-11-15,8.3826
156,2019-11-16,6.69217
157,2019-11-17,7.34608
158,2019-11-18,7.76347
159,2019-11-19,7.36695
160,2019-11-20,7.11652
161,2019-11-21,5.80869
