,기간,우크라이나
0,2019-06-13,2.44599
1,2019-06-14,3.04338
2,2019-06-15,7.43515
3,2019-06-16,41.06325
4,2019-06-17,1.06076
5,2019-06-18,0.39336
6,2019-06-19,0.25966
7,2019-06-20,0.22802
8,2019-06-21,0.19394
9,2019-06-22,0.18787
10,2019-06-23,0.18399
11,2019-06-24,0.15953
12,2019-06-25,0.1294
13,2019-06-26,0.12215
14,2019-06-27,0.11615
15,2019-06-28,0.14034
16,2019-06-29,0.14727
17,2019-06-30,0.12261
18,2019-07-01,0.1027
19,2019-07-02,0.09717
20,2019-07-03,0.09354
21,2019-07-04,0.09512
22,2019-07-05,0.08517
23,2019-07-06,0.08813
24,2019-07-07,0.08906
25,2019-07-08,0.09894
26,2019-07-09,0.09684
27,2019-07-10,0.10653
28,2019-07-11,0.10817
29,2019-07-12,0.0913
30,2019-07-13,0.07211
31,2019-07-14,0.08609
32,2019-07-15,0.09235
33,2019-07-16,0.08985
34,2019-07-17,0.09539
35,2019-07-18,0.09492
36,2019-07-19,0.0913
37,2019-07-20,0.09723
38,2019-07-21,0.09835
39,2019-07-22,0.25136
40,2019-07-23,0.10639
41,2019-07-24,0.09651
42,2019-07-25,0.08728
43,2019-07-26,0.10732
44,2019-07-27,0.11365
45,2019-07-28,0.11872
46,2019-07-29,0.0826
47,2019-07-30,0.15188
48,2019-07-31,0.10171
49,2019-08-01,0.08589
50,2019-08-02,0.08286
51,2019-08-03,0.08181
52,2019-08-04,0.0766
53,2019-08-05,0.08701
54,2019-08-06,0.08062
55,2019-08-07,0.08003
56,2019-08-08,0.08134
57,2019-08-09,0.08616
58,2019-08-10,0.07106
59,2019-08-11,0.08141
60,2019-08-12,0.10145
61,2019-08-13,0.09611
62,2019-08-14,0.10396
63,2019-08-15,0.10817
64,2019-08-16,0.09545
65,2019-08-17,0.31339
66,2019-08-18,0.23363
67,2019-08-19,0.1062
68,2019-08-20,0.10804
69,2019-08-21,0.09842
70,2019-08-22,0.09677
71,2019-08-23,0.09136
72,2019-08-24,0.08101
73,2019-08-25,0.09433
74,2019-08-26,0.11688
75,2019-08-27,0.13909
76,2019-08-28,0.10475
77,2019-08-29,0.10831
78,2019-08-30,0.09927
79,2019-08-31,0.09374
80,2019-09-01,0.10719
81,2019-09-02,0.09908
82,2019-09-03,0.0911
83,2019-09-04,0.09367
84,2019-09-05,0.14483
85,2019-09-06,0.1176
86,2019-09-07,0.10363
87,2019-09-08,0.11826
88,2019-09-09,0.10554
89,2019-09-10,0.10982
90,2019-09-11,0.10336
91,2019-09-12,0.08022
92,2019-09-13,0.08504
93,2019-09-14,0.10303
94,2019-09-15,0.16507
95,2019-09-16,0.10224
96,2019-09-17,0.08721
97,2019-09-18,0.09598
98,2019-09-19,0.09446
99,2019-09-20,0.0911
100,2019-09-21,0.10125
101,2019-09-22,0.10646
102,2019-09-23,0.13079
103,2019-09-24,0.11411
