,기간,윤석열
0,2019-06-13,3.891
1,2019-06-14,0.34672
2,2019-06-15,0.0677
3,2019-06-16,0.1255
4,2019-06-17,66.57871
5,2019-06-18,19.64065
6,2019-06-19,3.06831
7,2019-06-20,1.25613
8,2019-06-21,0.73567
9,2019-06-22,0.63015
10,2019-06-23,0.46589
11,2019-06-24,0.51196
12,2019-06-25,0.39343
13,2019-06-26,0.47377
14,2019-06-27,0.26776
15,2019-06-28,0.19418
16,2019-06-29,0.14063
17,2019-06-30,0.11522
18,2019-07-01,0.17925
19,2019-07-02,0.15829
20,2019-07-03,0.13834
21,2019-07-04,0.18926
22,2019-07-05,0.74881
23,2019-07-06,0.40748
24,2019-07-07,0.44267
25,2019-07-08,39.09534
26,2019-07-09,13.39969
27,2019-07-10,1.82394
28,2019-07-11,0.82987
29,2019-07-12,0.4946
30,2019-07-13,0.30918
31,2019-07-14,0.28841
32,2019-07-15,0.46565
33,2019-07-16,1.55051
34,2019-07-17,0.693
35,2019-07-18,0.42497
36,2019-07-19,0.26573
37,2019-07-20,0.14134
38,2019-07-21,0.13052
39,2019-07-22,0.1555
40,2019-07-23,0.1929
41,2019-07-24,0.39329
42,2019-07-25,9.72343
43,2019-07-26,8.17386
44,2019-07-27,0.65428
45,2019-07-28,0.33661
46,2019-07-29,0.33391
47,2019-07-30,0.18252
48,2019-07-31,0.22923
49,2019-08-01,0.27955
50,2019-08-02,0.31487
51,2019-08-03,0.18198
52,2019-08-04,0.12965
53,2019-08-05,0.11883
54,2019-08-06,0.09696
55,2019-08-07,0.16614
56,2019-08-08,0.64707
57,2019-08-09,0.54212
58,2019-08-10,0.17349
59,2019-08-11,0.09982
60,2019-08-12,0.09507
61,2019-08-13,0.07569
62,2019-08-14,0.07845
63,2019-08-15,0.06774
64,2019-08-16,0.05675
65,2019-08-17,0.05516
66,2019-08-18,0.04974
67,2019-08-19,0.07013
68,2019-08-20,0.11354
69,2019-08-21,0.13281
70,2019-08-22,0.12287
71,2019-08-23,0.09995
72,2019-08-24,0.07576
73,2019-08-25,0.07778
74,2019-08-26,0.08398
75,2019-08-27,22.57207
76,2019-08-28,7.63992
77,2019-08-29,2.03575
78,2019-08-30,0.7935
79,2019-08-31,0.60134
80,2019-09-01,0.52864
81,2019-09-02,0.80469
82,2019-09-03,1.08519
83,2019-09-04,1.18485
84,2019-09-05,1.59456
85,2019-09-06,3.2266
86,2019-09-07,7.71315
87,2019-09-08,1.70888
88,2019-09-09,3.89164
89,2019-09-10,2.25983
90,2019-09-11,2.01068
91,2019-09-12,0.99649
92,2019-09-13,0.8571
93,2019-09-14,0.70884
94,2019-09-15,0.60599
95,2019-09-16,0.61947
96,2019-09-17,0.52851
97,2019-09-18,0.47462
98,2019-09-19,0.58486
99,2019-09-20,0.70938
100,2019-09-21,0.47374
101,2019-09-22,0.45251
102,2019-09-23,1.27534
103,2019-09-24,4.81271
104,2019-09-25,1.24871
105,2019-09-26,0.79098
106,2019-09-27,1.52038
107,2019-09-28,1.72927
108,2019-09-29,1.84379
109,2019-09-30,1.91456
110,2019-10-01,2.12543
111,2019-10-02,1.20221
112,2019-10-03,0.67831
113,2019-10-04,0.85191
114,2019-10-05,0.63403
115,2019-10-06,0.53306
116,2019-10-07,0.72923
117,2019-10-08,0.47121
118,2019-10-09,0.39963
119,2019-10-10,0.31554
120,2019-10-11,45.68492
121,2019-10-12,1.2903
122,2019-10-13,0.50775
123,2019-10-14,2.41277
124,2019-10-15,1.1314
125,2019-10-16,0.56241
126,2019-10-17,2.88766
127,2019-10-18,2.19375
128,2019-10-19,0.71562
129,2019-10-20,0.38288
130,2019-10-21,0.53865
131,2019-10-22,0.38962
132,2019-10-23,0.35033
133,2019-10-24,0.96656
134,2019-10-25,0.48854
135,2019-10-26,0.32411
136,2019-10-27,0.26132
137,2019-10-28,0.24858
138,2019-10-29,0.43819
139,2019-10-30,0.48597
140,2019-10-31,0.24518
141,2019-11-01,0.24339
142,2019-11-02,0.17952
143,2019-11-03,0.15731
144,2019-11-04,0.16011
145,2019-11-05,0.15199
