,기간,장원영
0,2019-06-13,1.5864
1,2019-06-14,1.88888
2,2019-06-15,1.48134
3,2019-06-16,1.6815
4,2019-06-17,1.44014
5,2019-06-18,1.21206
6,2019-06-19,1.22983
7,2019-06-20,1.25483
8,2019-06-21,1.52157
9,2019-06-22,1.53758
10,2019-06-23,1.6485
11,2019-06-24,1.3673
12,2019-06-25,1.24369
13,2019-06-26,1.50087
14,2019-06-27,2.01307
15,2019-06-28,4.46005
16,2019-06-29,2.64108
17,2019-06-30,2.23803
18,2019-07-01,1.72993
19,2019-07-02,1.35305
20,2019-07-03,1.33645
21,2019-07-04,1.30696
22,2019-07-05,1.65006
23,2019-07-06,1.3675
24,2019-07-07,1.4542
25,2019-07-08,1.13922
26,2019-07-09,1.51161
27,2019-07-10,2.34094
28,2019-07-11,1.81448
29,2019-07-12,1.87404
30,2019-07-13,1.99335
31,2019-07-14,2.0822
32,2019-07-15,1.50731
33,2019-07-16,1.40128
34,2019-07-17,1.25307
35,2019-07-18,1.26088
36,2019-07-19,2.15816
37,2019-07-20,2.30989
38,2019-07-21,1.65221
39,2019-07-22,1.36418
40,2019-07-23,1.36145
41,2019-07-24,1.39249
42,2019-07-25,1.31399
43,2019-07-26,1.3015
44,2019-07-27,1.35832
45,2019-07-28,1.36672
46,2019-07-29,1.2433
47,2019-07-30,1.29681
48,2019-07-31,1.25697
49,2019-08-01,1.54442
50,2019-08-02,1.44268
51,2019-08-03,1.58328
52,2019-08-04,1.58562
53,2019-08-05,1.31907
54,2019-08-06,1.39347
55,2019-08-07,1.56961
56,2019-08-08,1.51923
57,2019-08-09,1.31985
58,2019-08-10,1.25444
59,2019-08-11,1.34075
60,2019-08-12,1.34699
61,2019-08-13,1.36867
62,2019-08-14,2.22241
63,2019-08-15,1.39347
64,2019-08-16,2.41846
65,2019-08-17,1.40206
66,2019-08-18,1.26225
67,2019-08-19,1.57839
68,2019-08-20,1.3466
69,2019-08-21,1.17047
70,2019-08-22,1.07674
71,2019-08-23,0.9543
72,2019-08-24,1.02889
73,2019-08-25,1.12829
74,2019-08-26,0.91544
75,2019-08-27,0.97148
76,2019-08-28,0.88361
77,2019-08-29,1.74496
78,2019-08-30,1.56922
79,2019-08-31,3.62408
80,2019-09-01,2.11969
81,2019-09-02,1.47763
82,2019-09-03,1.28373
83,2019-09-04,0.94922
84,2019-09-05,0.95645
85,2019-09-06,0.98847
86,2019-09-07,3.48974
87,2019-09-08,2.58035
88,2019-09-09,1.72134
89,2019-09-10,1.19273
90,2019-09-11,0.95762
91,2019-09-12,1.29935
92,2019-09-13,3.32356
93,2019-09-14,2.00292
94,2019-09-15,1.40499
95,2019-09-16,1.08377
96,2019-09-17,0.87053
97,2019-09-18,0.91622
98,2019-09-19,0.81077
99,2019-09-20,1.00898
100,2019-09-21,1.50478
101,2019-09-22,1.37121
102,2019-09-23,1.36672
103,2019-09-24,0.97285
104,2019-09-25,0.86799
105,2019-09-26,1.06521
106,2019-09-27,1.06131
107,2019-09-28,1.01796
108,2019-09-29,1.02928
109,2019-09-30,0.72837
110,2019-10-01,0.8758
111,2019-10-02,0.94864
112,2019-10-03,0.86682
113,2019-10-04,1.05389
114,2019-10-05,1.22514
115,2019-10-06,1.2888
116,2019-10-07,0.87658
117,2019-10-08,0.82893
118,2019-10-09,0.85178
119,2019-10-10,0.67467
120,2019-10-11,0.81116
121,2019-10-12,0.88224
122,2019-10-13,0.98964
123,2019-10-14,0.88986
124,2019-10-15,1.08982
125,2019-10-16,2.57898
126,2019-10-17,1.03397
127,2019-10-18,1.04725
128,2019-10-19,1.10466
129,2019-10-20,1.04901
130,2019-10-21,0.75434
131,2019-10-22,0.96758
132,2019-10-23,1.11228
133,2019-10-24,0.97246
134,2019-10-25,1.04979
135,2019-10-26,1.05057
136,2019-10-27,1.25151
137,2019-10-28,1.08728
138,2019-10-29,1.04237
139,2019-10-30,1.19019
140,2019-10-31,1.11911
141,2019-11-01,0.9584
142,2019-11-02,1.16402
143,2019-11-03,1.09587
144,2019-11-04,0.74438
145,2019-11-05,1.00683
146,2019-11-06,1.01288
147,2019-11-07,3.64596
148,2019-11-08,2.34797
149,2019-11-09,1.68345
150,2019-11-10,1.26186
151,2019-11-11,1.63912
152,2019-11-12,1.54793
153,2019-11-13,1.04295
154,2019-11-14,0.88732
155,2019-11-15,0.82268
156,2019-11-16,0.81976
157,2019-11-17,0.88166
158,2019-11-18,0.73071
159,2019-11-19,0.752
160,2019-11-20,0.78187
161,2019-11-21,0.73657
162,2019-11-22,0.70318
163,2019-11-23,0.83499
164,2019-11-24,0.76098
165,2019-11-25,0.5616
166,2019-11-26,0.60105
167,2019-11-27,0.5866
168,2019-11-28,0.65358
169,2019-11-29,0.56141
170,2019-11-30,0.72739
171,2019-12-01,0.64713
172,2019-12-02,0.7602
173,2019-12-03,0.6155
174,2019-12-04,0.73051
175,2019-12-05,0.65397
176,2019-12-06,20.8863
177,2019-12-07,2.14313
178,2019-12-08,84.74382
179,2019-12-09,1.6608
180,2019-12-10,0.94668
181,2019-12-11,1.00644
182,2019-12-12,0.88537
183,2019-12-13,0.68384
184,2019-12-14,0.69224
185,2019-12-15,0.69107
186,2019-12-16,0.51083
187,2019-12-17,0.53602
188,2019-12-18,0.51981
189,2019-12-19,0.46084
190,2019-12-20,0.44541
191,2019-12-21,0.4956
192,2019-12-22,0.53134
193,2019-12-23,0.47549
194,2019-12-24,0.45576
195,2019-12-25,0.53387
196,2019-12-26,0.5327
197,2019-12-27,0.48935
198,2019-12-28,0.55906
199,2019-12-29,0.54832
200,2019-12-30,0.7147
201,2019-12-31,0.53309
202,2020-01-01,0.80999
203,2020-01-02,0.58347
204,2020-01-03,0.537
205,2020-01-04,0.6112
206,2020-01-05,0.54461
207,2020-01-06,0.56902
208,2020-01-07,0.59656
209,2020-01-08,0.72368
210,2020-01-09,0.61452
211,2020-01-10,0.56414
212,2020-01-11,0.56766
213,2020-01-12,0.50419
214,2020-01-13,0.67525
215,2020-01-14,0.5079
216,2020-01-15,0.4997
217,2020-01-16,0.46338
218,2020-01-17,0.5409
219,2020-01-18,0.56043
220,2020-01-19,0.54598
221,2020-01-20,0.47939
222,2020-01-21,0.48896
223,2020-01-22,0.49013
224,2020-01-23,0.53719
225,2020-01-24,0.76664
226,2020-01-25,0.75239
227,2020-01-26,0.53583
228,2020-01-27,0.56043
229,2020-01-28,0.52431
230,2020-01-29,0.59929
231,2020-01-30,0.68345
232,2020-01-31,0.52294
233,2020-02-01,1.0162
234,2020-02-02,0.81292
235,2020-02-03,0.50458
236,2020-02-04,0.48935
237,2020-02-05,0.56805
238,2020-02-06,0.80687
239,2020-02-07,0.72134
240,2020-02-08,0.72524
241,2020-02-09,0.77855
242,2020-02-10,0.68248
243,2020-02-11,0.72524
244,2020-02-12,0.79515
245,2020-02-13,0.7313
246,2020-02-14,0.76781
247,2020-02-15,0.82581
248,2020-02-16,0.86564
249,2020-02-17,2.03905
250,2020-02-18,2.44053
251,2020-02-19,1.75687
252,2020-02-20,6.04236
253,2020-02-21,2.11032
254,2020-02-22,1.96094
255,2020-02-23,1.73911
256,2020-02-24,1.67388
257,2020-02-25,1.88868
258,2020-02-26,2.29857
259,2020-02-27,2.53973
260,2020-02-28,1.89415
261,2020-02-29,1.68501
262,2020-03-01,1.81468
263,2020-03-02,1.46553
264,2020-03-03,1.55652
265,2020-03-04,1.56102
266,2020-03-05,1.48935
267,2020-03-06,1.53036
268,2020-03-07,2.02577
269,2020-03-08,1.77074
270,2020-03-09,1.6692
271,2020-03-10,1.44248
272,2020-03-11,1.47705
273,2020-03-12,1.34973
274,2020-03-13,1.27494
275,2020-03-14,1.16949
276,2020-03-15,1.08123
277,2020-03-16,0.99648
278,2020-03-17,0.95332
279,2020-03-18,0.96309
280,2020-03-19,1.00292
281,2020-03-20,0.99589
282,2020-03-21,1.07732
283,2020-03-22,1.02382
284,2020-03-23,1.05037
285,2020-03-24,0.94356
286,2020-03-25,0.96387
287,2020-03-26,0.95293
288,2020-03-27,0.92013
289,2020-03-28,0.93516
290,2020-03-29,0.89572
291,2020-03-30,0.87658
292,2020-03-31,0.98886
293,2020-04-01,1.01718
294,2020-04-02,1.0615
295,2020-04-03,1.05076
296,2020-04-04,1.39367
297,2020-04-05,1.88595
298,2020-04-06,1.26049
299,2020-04-07,1.27767
300,2020-04-08,1.05115
301,2020-04-09,1.69283
302,2020-04-10,1.54129
303,2020-04-11,1.72915
304,2020-04-12,1.15289
305,2020-04-13,1.04002
306,2020-04-14,1.02147
307,2020-04-15,0.85354
308,2020-04-16,0.81976
309,2020-04-17,0.83225
310,2020-04-18,0.793
311,2020-04-19,0.86076
312,2020-04-20,1.22514
313,2020-04-21,1.1693
314,2020-04-22,0.96016
315,2020-04-23,1.01366
316,2020-04-24,1.00175
317,2020-04-25,0.87014
318,2020-04-26,0.85881
319,2020-04-27,0.77875
320,2020-04-28,0.85237
321,2020-04-29,0.77484
322,2020-04-30,0.80472
323,2020-05-01,0.70064
324,2020-05-02,0.67408
325,2020-05-03,0.75102
326,2020-05-04,0.67838
327,2020-05-05,0.69302
328,2020-05-06,0.67076
329,2020-05-07,0.64362
330,2020-05-08,0.82932
331,2020-05-09,0.81331
332,2020-05-10,0.75414
333,2020-05-11,0.79046
334,2020-05-12,1.22182
335,2020-05-13,0.9047
336,2020-05-14,0.77328
337,2020-05-15,0.75336
338,2020-05-16,0.69576
339,2020-05-17,0.79535
340,2020-05-18,0.81468
341,2020-05-19,0.9955
342,2020-05-20,1.04217
343,2020-05-21,0.94454
344,2020-05-22,1.14899
345,2020-05-23,0.79847
346,2020-05-24,1.01347
347,2020-05-25,1.27006
348,2020-05-26,1.14879
349,2020-05-27,0.8551
350,2020-05-28,0.74047
351,2020-05-29,0.69576
352,2020-05-30,0.69537
353,2020-05-31,0.73833
354,2020-06-01,0.70806
355,2020-06-02,0.69986
356,2020-06-03,0.81175
357,2020-06-04,0.8635
358,2020-06-05,0.7725
359,2020-06-06,0.69517
360,2020-06-07,0.72485
361,2020-06-08,0.88283
362,2020-06-09,0.89962
363,2020-06-10,1.09353
364,2020-06-11,1.01561
365,2020-06-12,0.8219
366,2020-06-13,0.99433
367,2020-06-14,0.87482
368,2020-06-15,1.28451
369,2020-06-16,1.578
370,2020-06-17,1.47256
371,2020-06-18,1.51747
372,2020-06-19,2.04334
373,2020-06-20,1.87189
374,2020-06-21,1.58757
375,2020-06-22,1.3511
376,2020-06-23,1.39191
377,2020-06-24,1.51884
378,2020-06-25,1.19761
379,2020-06-26,1.14938
380,2020-06-27,1.08923
381,2020-06-28,1.28373
382,2020-06-29,1.65318
383,2020-06-30,2.05955
384,2020-07-01,2.04373
385,2020-07-02,1.69283
386,2020-07-03,1.67603
387,2020-07-04,1.65436
388,2020-07-05,1.68872
389,2020-07-06,1.2931
390,2020-07-07,1.11286
391,2020-07-08,1.05877
392,2020-07-09,0.98281
393,2020-07-10,0.91056
394,2020-07-11,1.25873
395,2020-07-12,1.09939
396,2020-07-13,0.90821
397,2020-07-14,1.04315
398,2020-07-15,1.07771
399,2020-07-16,1.00566
400,2020-07-17,1.00702
401,2020-07-18,1.12692
402,2020-07-19,1.71762
403,2020-07-20,1.72309
404,2020-07-21,1.46103
405,2020-07-22,1.29251
406,2020-07-23,1.37121
407,2020-07-24,1.20034
408,2020-07-25,1.17222
409,2020-07-26,100.0
410,2020-07-27,98.26264
411,2020-07-28,3.59382
412,2020-07-29,3.37003
413,2020-07-30,2.06443
414,2020-07-31,1.74047
415,2020-08-01,3.25072
416,2020-08-02,2.26654
417,2020-08-03,1.67486
418,2020-08-04,1.92911
419,2020-08-05,1.98613
420,2020-08-06,1.65338
421,2020-08-07,1.24038
422,2020-08-08,1.85217
423,2020-08-09,1.43663
424,2020-08-10,1.25365
425,2020-08-11,1.23354
426,2020-08-12,1.02909
427,2020-08-13,1.59714
428,2020-08-14,2.49267
429,2020-08-15,1.30579
430,2020-08-16,1.57429
431,2020-08-17,2.23588
432,2020-08-18,1.6608
433,2020-08-19,1.30228
434,2020-08-20,1.23803
435,2020-08-21,1.25854
436,2020-08-22,1.13258
437,2020-08-23,1.48583
438,2020-08-24,1.13415
439,2020-08-25,1.15328
440,2020-08-26,1.07127
441,2020-08-27,1.11286
442,2020-08-28,2.45635
443,2020-08-29,1.90997
444,2020-08-30,1.81975
445,2020-08-31,8.48875
446,2020-09-01,5.10739
447,2020-09-02,2.02479
448,2020-09-03,1.36066
449,2020-09-04,1.21382
450,2020-09-05,1.21909
451,2020-09-06,1.27494
452,2020-09-07,1.38644
453,2020-09-08,1.13942
454,2020-09-09,1.10778
455,2020-09-10,1.40128
456,2020-09-11,1.40265
457,2020-09-12,1.24194
458,2020-09-13,1.22612
459,2020-09-14,1.15309
460,2020-09-15,0.96094
461,2020-09-16,1.13297
462,2020-09-17,1.08787
463,2020-09-18,1.04725
464,2020-09-19,0.96992
465,2020-09-20,0.94375
466,2020-09-21,0.87931
467,2020-09-22,0.77308
468,2020-09-23,0.97012
469,2020-09-24,0.93536
470,2020-09-25,1.03143
471,2020-09-26,0.9254
472,2020-09-27,0.82522
473,2020-09-28,0.99199
474,2020-09-29,0.81936
475,2020-09-30,1.05897
476,2020-10-01,1.25326
477,2020-10-02,1.23178
478,2020-10-03,1.59402
479,2020-10-04,1.10759
480,2020-10-05,1.0369
481,2020-10-06,1.09001
482,2020-10-07,0.91759
483,2020-10-08,0.90509
484,2020-10-09,0.94512
485,2020-10-10,0.89435
486,2020-10-11,0.93477
487,2020-10-12,0.82425
488,2020-10-13,0.75922
489,2020-10-14,0.7602
490,2020-10-15,0.95528
491,2020-10-16,3.39679
492,2020-10-17,1.95117
493,2020-10-18,1.09958
494,2020-10-19,0.94512
495,2020-10-20,0.89396
496,2020-10-21,0.89923
497,2020-10-22,1.05096
498,2020-10-23,0.92755
499,2020-10-24,0.88537
500,2020-10-25,0.81116
501,2020-10-26,0.72583
502,2020-10-27,0.76078
503,2020-10-28,0.65944
504,2020-10-29,0.60573
505,2020-10-30,0.61023
506,2020-10-31,0.94727
507,2020-11-01,0.87131
508,2020-11-02,0.61726
509,2020-11-03,0.72876
510,2020-11-04,0.83108
511,2020-11-05,0.78636
512,2020-11-06,0.77211
513,2020-11-07,0.75336
514,2020-11-08,0.68853
515,2020-11-09,0.57078
516,2020-11-10,0.58113
517,2020-11-11,0.60613
518,2020-11-12,0.67389
519,2020-11-13,0.63698
520,2020-11-14,0.71685
521,2020-11-15,0.68404
522,2020-11-16,0.59617
523,2020-11-17,0.88381
524,2020-11-18,1.18199
525,2020-11-19,0.99062
526,2020-11-20,0.64694
527,2020-11-21,0.74926
528,2020-11-22,0.65865
529,2020-11-23,0.54247
530,2020-11-24,0.55301
531,2020-11-25,0.53544
532,2020-11-26,0.62643
533,2020-11-27,0.6112
534,2020-11-28,0.72427
535,2020-11-29,0.87599
536,2020-11-30,0.57371
537,2020-12-01,0.59734
538,2020-12-02,0.67408
539,2020-12-03,0.6032
540,2020-12-04,0.65612
541,2020-12-05,0.90665
542,2020-12-06,12.06695
543,2020-12-07,1.18999
544,2020-12-08,2.22358
545,2020-12-09,1.30032
546,2020-12-10,2.4706
547,2020-12-11,1.4212
548,2020-12-12,1.60202
549,2020-12-13,1.53153
550,2020-12-14,1.10505
551,2020-12-15,1.06072
552,2020-12-16,1.27767
553,2020-12-17,1.41456
554,2020-12-18,18.40808
555,2020-12-19,5.09528
556,2020-12-20,2.15836
557,2020-12-21,1.61159
558,2020-12-22,1.35988
559,2020-12-23,1.25775
560,2020-12-24,1.16227
561,2020-12-25,2.58464
562,2020-12-26,1.43213
563,2020-12-27,1.42022
564,2020-12-28,1.0947
565,2020-12-29,0.9582
566,2020-12-30,1.05643
567,2020-12-31,2.86974
568,2021-01-01,2.07517
569,2021-01-02,1.57312
570,2021-01-03,1.89591
571,2021-01-04,1.49931
572,2021-01-05,1.21479
573,2021-01-06,1.15153
574,2021-01-07,1.10173
575,2021-01-08,1.25033
576,2021-01-09,2.22905
577,2021-01-10,1.43135
578,2021-01-11,1.25072
579,2021-01-12,1.27865
580,2021-01-13,1.16363
581,2021-01-14,1.28997
582,2021-01-15,1.20034
583,2021-01-16,1.27884
584,2021-01-17,1.18316
585,2021-01-18,1.02264
586,2021-01-19,0.93887
587,2021-01-20,0.88263
588,2021-01-21,0.86447
589,2021-01-22,0.86799
590,2021-01-23,0.86643
591,2021-01-24,0.89747
592,2021-01-25,0.91075
593,2021-01-26,0.86193
594,2021-01-27,0.78265
595,2021-01-28,0.78929
596,2021-01-29,0.85139
597,2021-01-30,0.84768
598,2021-01-31,1.90118
599,2021-02-01,1.07146
600,2021-02-02,0.99335
601,2021-02-03,0.9006
602,2021-02-04,0.84338
603,2021-02-05,0.88849
604,2021-02-06,1.18199
605,2021-02-07,0.96035
606,2021-02-08,0.88986
607,2021-02-09,0.92911
608,2021-02-10,0.91153
609,2021-02-11,0.88693
610,2021-02-12,0.9914
611,2021-02-13,1.06639
612,2021-02-14,1.42471
613,2021-02-15,1.05643
614,2021-02-16,1.09294
615,2021-02-17,0.95859
616,2021-02-18,1.07166
617,2021-02-19,0.93458
618,2021-02-20,0.96406
619,2021-02-21,1.0615
620,2021-02-22,1.21929
621,2021-02-23,0.96348
622,2021-02-24,0.884
623,2021-02-25,0.84514
624,2021-02-26,0.83167
625,2021-02-27,0.76117
626,2021-02-28,0.79788
627,2021-03-01,0.92423
628,2021-03-02,0.73774
629,2021-03-03,0.66197
630,2021-03-04,0.65338
631,2021-03-05,0.64987
632,2021-03-06,0.71919
633,2021-03-07,0.79339
634,2021-03-08,0.74145
635,2021-03-09,0.99316
636,2021-03-10,1.71177
637,2021-03-11,2.01835
638,2021-03-12,1.46943
639,2021-03-13,1.24994
640,2021-03-14,1.33001
641,2021-03-15,1.03944
642,2021-03-16,0.95957
643,2021-03-17,1.0615
644,2021-03-18,0.93399
645,2021-03-19,0.9584
646,2021-03-20,1.04686
647,2021-03-21,1.074
648,2021-03-22,0.95469
649,2021-03-23,0.9379
650,2021-03-24,0.97597
651,2021-03-25,1.0037
652,2021-03-26,0.94981
653,2021-03-27,1.01112
654,2021-03-28,1.10036
655,2021-03-29,0.85647
656,2021-03-30,0.88556
657,2021-03-31,1.09685
658,2021-04-01,0.98535
659,2021-04-02,0.9293
660,2021-04-03,1.2146
661,2021-04-04,1.25775
662,2021-04-05,1.13083
663,2021-04-06,0.97695
664,2021-04-07,0.79691
665,2021-04-08,0.71021
666,2021-04-09,0.77094
667,2021-04-10,0.83596
668,2021-04-11,0.8219
669,2021-04-12,0.81097
670,2021-04-13,0.74692
671,2021-04-14,0.72915
672,2021-04-15,0.68892
673,2021-04-16,0.72563
674,2021-04-17,1.33333
675,2021-04-18,1.39249
676,2021-04-19,0.86486
677,2021-04-20,0.79496
678,2021-04-21,0.79242
679,2021-04-22,0.79437
680,2021-04-23,0.90236
681,2021-04-24,0.96152
682,2021-04-25,0.92345
683,2021-04-26,0.81585
684,2021-04-27,0.96797
685,2021-04-28,0.9582
686,2021-04-29,1.24721
687,2021-04-30,0.99218
688,2021-05-01,1.05701
689,2021-05-02,0.89064
