,기간,캠핑
0,2019-06-13,14.81739
1,2019-06-14,12.80695
2,2019-06-15,12.94608
3,2019-06-16,16.19478
4,2019-06-17,17.92695
5,2019-06-18,14.59478
6,2019-06-19,13.89913
7,2019-06-20,13.48173
8,2019-06-21,12.96
9,2019-06-22,13.03652
10,2019-06-23,14.81043
11,2019-06-24,17.06434
12,2019-06-25,15.22086
13,2019-06-26,12.21565
14,2019-06-27,11.63826
15,2019-06-28,11.52695
16,2019-06-29,11.34608
17,2019-06-30,13.81565
18,2019-07-01,13.92
19,2019-07-02,14.18434
20,2019-07-03,13.09217
21,2019-07-04,13.10608
22,2019-07-05,13.25913
23,2019-07-06,12.0
24,2019-07-07,15.00521
25,2019-07-08,16.66782
26,2019-07-09,15.24869
27,2019-07-10,13.86434
28,2019-07-11,16.81391
29,2019-07-12,13.72521
30,2019-07-13,14.96347
31,2019-07-14,25.20347
32,2019-07-15,33.61391
33,2019-07-16,23.29739
34,2019-07-17,20.08347
35,2019-07-18,19.01217
36,2019-07-19,17.39826
37,2019-07-20,17.94782
38,2019-07-21,24.85565
39,2019-07-22,26.37217
40,2019-07-23,20.96
41,2019-07-24,18.38608
42,2019-07-25,17.53739
43,2019-07-26,15.31826
44,2019-07-27,15.84695
45,2019-07-28,21.34956
46,2019-07-29,23.30434
47,2019-07-30,22.24
48,2019-07-31,18.57391
49,2019-08-01,18.26782
50,2019-08-02,17.06434
51,2019-08-03,15.52
52,2019-08-04,19.1513
53,2019-08-05,19.06782
54,2019-08-06,16.29913
55,2019-08-07,15.17217
56,2019-08-08,15.04
57,2019-08-09,15.26956
58,2019-08-10,13.51652
59,2019-08-11,18.01043
60,2019-08-12,19.38086
61,2019-08-13,17.35652
62,2019-08-14,12.84173
63,2019-08-15,14.47652
64,2019-08-16,14.44869
65,2019-08-17,15.1513
66,2019-08-18,17.75304
67,2019-08-19,19.12347
68,2019-08-20,16.92521
69,2019-08-21,15.16521
70,2019-08-22,14.46956
71,2019-08-23,14.10782
72,2019-08-24,12.79304
73,2019-08-25,18.32347
74,2019-08-26,20.33391
75,2019-08-27,17.37739
76,2019-08-28,15.51304
77,2019-08-29,15.00521
78,2019-08-30,13.94782
79,2019-08-31,12.98086
80,2019-09-01,17.04347
81,2019-09-02,17.48869
82,2019-09-03,13.89913
83,2019-09-04,12.45217
84,2019-09-05,11.47826
85,2019-09-06,10.10782
86,2019-09-07,10.65739
87,2019-09-08,14.37913
88,2019-09-09,14.17739
89,2019-09-10,12.3826
90,2019-09-11,10.96347
91,2019-09-12,10.53913
92,2019-09-13,11.05391
93,2019-09-14,12.05565
94,2019-09-15,15.5826
95,2019-09-16,17.60695
96,2019-09-17,16.34782
97,2019-09-18,14.59478
98,2019-09-19,13.32869
99,2019-09-20,11.73565
100,2019-09-21,10.58782
101,2019-09-22,15.66608
102,2019-09-23,17.71826
